service_order_id,vehicle_id,dealer_id,service_date,service_type,labor_cost,total_cost
SVC-000001,VEH-0002,DLR-002,2025-01-02,Repair,532.2,748.7
SVC-000002,VEH-0003,DLR-003,2025-01-03,Recall,564.4,797.4
SVC-000003,VEH-0004,DLR-004,2025-01-04,Routine,596.6,846.1
SVC-000004,VEH-0005,DLR-005,2025-01-05,Repair,628.8,894.8
SVC-000005,VEH-0006,DLR-006,2025-01-06,Recall,661.0,943.5
SVC-000006,VEH-0007,DLR-001,2025-01-07,Routine,693.2,992.2
SVC-000007,VEH-0008,DLR-002,2025-01-08,Repair,725.4,1040.9
SVC-000008,VEH-0009,DLR-003,2025-01-09,Recall,757.6,1089.6
SVC-000009,VEH-0010,DLR-004,2025-01-10,Routine,789.8,1138.3
SVC-000010,VEH-0011,DLR-005,2025-01-11,Repair,822.0,1187.0
SVC-000011,VEH-0012,DLR-006,2025-01-12,Recall,854.2,1235.7
SVC-000012,VEH-0013,DLR-001,2025-01-13,Routine,886.4,1284.4
SVC-000013,VEH-0014,DLR-002,2025-01-14,Repair,918.6,1333.1
SVC-000014,VEH-0015,DLR-003,2025-01-15,Recall,950.8,1381.8
SVC-000015,VEH-0016,DLR-004,2025-01-16,Routine,983.0,1430.5
SVC-000016,VEH-0017,DLR-005,2025-01-17,Repair,1015.2,1479.2
SVC-000017,VEH-0018,DLR-006,2025-01-18,Recall,1047.4,1527.9
SVC-000018,VEH-0019,DLR-001,2025-01-19,Routine,1079.6,1576.6
SVC-000019,VEH-0020,DLR-002,2025-01-20,Repair,1111.8,1625.3
SVC-000020,VEH-0021,DLR-003,2025-01-21,Recall,1144.0,1674.0
SVC-000021,VEH-0022,DLR-004,2025-01-22,Routine,1176.2,1722.7
SVC-000022,VEH-0023,DLR-005,2025-01-23,Repair,1208.4,1771.4
SVC-000023,VEH-0024,DLR-006,2025-01-24,Recall,1240.6,1820.1
SVC-000024,VEH-0025,DLR-001,2025-01-25,Routine,1272.8,1868.8
SVC-000025,VEH-0026,DLR-002,2025-01-26,Repair,1305.0,1917.5
SVC-000026,VEH-0027,DLR-003,2025-01-27,Recall,1337.2,1966.2
SVC-000027,VEH-0028,DLR-004,2025-01-28,Routine,1369.4,2014.9
SVC-000028,VEH-0029,DLR-005,2025-01-29,Repair,1401.6,2063.6
SVC-000029,VEH-0030,DLR-006,2025-01-30,Recall,1433.8,2112.3
SVC-000030,VEH-0031,DLR-001,2025-01-31,Routine,1466.0,2161.0
SVC-000031,VEH-0032,DLR-002,2025-02-01,Repair,1498.2,2209.7
SVC-000032,VEH-0033,DLR-003,2025-02-02,Recall,1530.4,2258.4
SVC-000033,VEH-0034,DLR-004,2025-02-03,Routine,1562.6,2307.1
SVC-000034,VEH-0035,DLR-005,2025-02-04,Repair,1594.8,2355.8
SVC-000035,VEH-0036,DLR-006,2025-02-05,Recall,1627.0,2404.5
SVC-000036,VEH-0037,DLR-001,2025-02-06,Routine,1659.2,2453.2
SVC-000037,VEH-0038,DLR-002,2025-02-07,Repair,1691.4,2501.9
SVC-000038,VEH-0039,DLR-003,2025-02-08,Recall,1723.6,2550.6
SVC-000039,VEH-0040,DLR-004,2025-02-09,Routine,1755.8,2599.3
SVC-000040,VEH-0041,DLR-005,2025-02-10,Repair,1788.0,2648.0
SVC-000041,VEH-0042,DLR-006,2025-02-11,Recall,1820.2,2696.7
SVC-000042,VEH-0043,DLR-001,2025-02-12,Routine,1852.4,2745.4
SVC-000043,VEH-0044,DLR-002,2025-02-13,Repair,1884.6,2794.1
SVC-000044,VEH-0045,DLR-003,2025-02-14,Recall,1916.8,2842.8
SVC-000045,VEH-0046,DLR-004,2025-02-15,Routine,1949.0,2891.5
SVC-000046,VEH-0047,DLR-005,2025-02-16,Repair,1981.2,2940.2
SVC-000047,VEH-0048,DLR-006,2025-02-17,Recall,2013.4,2988.9
SVC-000048,VEH-0049,DLR-001,2025-02-18,Routine,2045.6,3037.6
SVC-000049,VEH-0050,DLR-002,2025-02-19,Repair,2077.8,3086.3
SVC-000050,VEH-0051,DLR-003,2025-02-20,Recall,2110.0,3135.0
SVC-000051,VEH-0052,DLR-004,2025-02-21,Routine,2142.2,3183.7
SVC-000052,VEH-0053,DLR-005,2025-02-22,Repair,2174.4,3232.4
SVC-000053,VEH-0054,DLR-006,2025-02-23,Recall,2206.6,3281.1
SVC-000054,VEH-0055,DLR-001,2025-02-24,Routine,2238.8,3329.8
SVC-000055,VEH-0001,DLR-002,2025-02-25,Repair,2271.0,3378.5
SVC-000056,VEH-0002,DLR-003,2025-02-26,Recall,2303.2,3427.2
SVC-000057,VEH-0003,DLR-004,2025-02-27,Routine,2335.4,3475.9
SVC-000058,VEH-0004,DLR-005,2025-02-28,Repair,2367.6,3524.6
SVC-000059,VEH-0005,DLR-006,2025-03-01,Recall,2399.8,3573.3
SVC-000060,VEH-0006,DLR-001,2025-03-02,Routine,2432.0,3622.0
SVC-000061,VEH-0007,DLR-002,2025-03-03,Repair,2464.2,3670.7
SVC-000062,VEH-0008,DLR-003,2025-03-04,Recall,2496.4,3719.4
SVC-000063,VEH-0009,DLR-004,2025-03-05,Routine,2528.6,3768.1
SVC-000064,VEH-0010,DLR-005,2025-03-06,Repair,2560.8,3816.8
SVC-000065,VEH-0011,DLR-006,2025-03-07,Recall,2593.0,3865.5
SVC-000066,VEH-0012,DLR-001,2025-03-08,Routine,2625.2,3914.2
SVC-000067,VEH-0013,DLR-002,2025-03-09,Repair,2657.4,3962.9
