service_part_id,service_order_id,part_id,quantity,part_cost
SP-00001,SVC-000002,PAR-0002,2,263.2
SP-00002,SVC-000003,PAR-0003,3,442.2
SP-00003,SVC-000004,PAR-0004,4,652.8
SP-00004,SVC-000005,PAR-0005,1,179.0
SP-00005,SVC-000006,PAR-0006,2,389.6
SP-00006,SVC-000007,PAR-0007,3,631.8
SP-00007,SVC-000008,PAR-0008,4,905.6
SP-00008,SVC-000009,PAR-0009,1,242.2
SP-00009,SVC-000010,PAR-0010,2,516.0
SP-00010,SVC-000011,PAR-0011,3,821.4
SP-00011,SVC-000012,PAR-0012,4,1158.4
SP-00012,SVC-000013,PAR-0013,1,305.4
SP-00013,SVC-000014,PAR-0014,2,642.4
SP-00014,SVC-000015,PAR-0015,3,1011.0
SP-00015,SVC-000016,PAR-0016,4,1411.2
SP-00016,SVC-000017,PAR-0017,1,368.6
SP-00017,SVC-000018,PAR-0018,2,768.8
SP-00018,SVC-000019,PAR-0019,3,1200.6
SP-00019,SVC-000020,PAR-0020,4,1664.0
SP-00020,SVC-000021,PAR-0021,1,431.8
SP-00021,SVC-000022,PAR-0022,2,895.2
SP-00022,SVC-000023,PAR-0023,3,1390.2
SP-00023,SVC-000024,PAR-0024,4,1916.8
SP-00024,SVC-000025,PAR-0025,1,495.0
SP-00025,SVC-000026,PAR-0001,2,231.6
SP-00026,SVC-000027,PAR-0002,3,394.8
SP-00027,SVC-000028,PAR-0003,4,589.6
SP-00028,SVC-000029,PAR-0004,1,163.2
SP-00029,SVC-000030,PAR-0005,2,358.0
SP-00030,SVC-000031,PAR-0006,3,584.4
SP-00031,SVC-000032,PAR-0007,4,842.4
SP-00032,SVC-000033,PAR-0008,1,226.4
SP-00033,SVC-000034,PAR-0009,2,484.4
SP-00034,SVC-000035,PAR-0010,3,774.0
SP-00035,SVC-000036,PAR-0011,4,1095.2
SP-00036,SVC-000037,PAR-0012,1,289.6
SP-00037,SVC-000038,PAR-0013,2,610.8
SP-00038,SVC-000039,PAR-0014,3,963.6
SP-00039,SVC-000040,PAR-0015,4,1348.0
SP-00040,SVC-000041,PAR-0016,1,352.8
SP-00041,SVC-000042,PAR-0017,2,737.2
SP-00042,SVC-000043,PAR-0018,3,1153.2
SP-00043,SVC-000044,PAR-0019,4,1600.8
SP-00044,SVC-000045,PAR-0020,1,416.0
SP-00045,SVC-000046,PAR-0021,2,863.6
SP-00046,SVC-000047,PAR-0022,3,1342.8
SP-00047,SVC-000048,PAR-0023,4,1853.6
SP-00048,SVC-000049,PAR-0024,1,479.2
SP-00049,SVC-000050,PAR-0025,2,990.0
SP-00050,SVC-000051,PAR-0001,3,347.4
SP-00051,SVC-000052,PAR-0002,4,526.4
SP-00052,SVC-000053,PAR-0003,1,147.4
SP-00053,SVC-000054,PAR-0004,2,326.4
SP-00054,SVC-000055,PAR-0005,3,537.0
SP-00055,SVC-000056,PAR-0006,4,779.2
SP-00056,SVC-000057,PAR-0007,1,210.6
SP-00057,SVC-000058,PAR-0008,2,452.8
SP-00058,SVC-000059,PAR-0009,3,726.6
SP-00059,SVC-000060,PAR-0010,4,1032.0
SP-00060,SVC-000061,PAR-0011,1,273.8
SP-00061,SVC-000062,PAR-0012,2,579.2
SP-00062,SVC-000063,PAR-0013,3,916.2
