vehicle_id,customer_id,dealer_id,vin,model,purchase_date
VEH-0001,CUS-0002,DLR-002,VIN202600000000001,SUV,2026-02-06
VEH-0002,CUS-0003,DLR-003,VIN202600000000002,EV,2026-02-07
VEH-0003,CUS-0004,DLR-004,VIN202600000000003,Sedan,2026-02-08
VEH-0004,CUS-0005,DLR-005,VIN202600000000004,SUV,2026-02-09
VEH-0005,CUS-0006,DLR-006,VIN202600000000005,EV,2026-02-10
VEH-0006,CUS-0007,DLR-001,VIN202600000000006,Sedan,2026-02-11
VEH-0007,CUS-0008,DLR-002,VIN202600000000007,SUV,2026-02-12
VEH-0008,CUS-0009,DLR-003,VIN202600000000008,EV,2026-02-13
VEH-0009,CUS-0010,DLR-004,VIN202600000000009,Sedan,2026-02-14
VEH-0010,CUS-0011,DLR-005,VIN202600000000010,SUV,2026-02-15
VEH-0011,CUS-0012,DLR-006,VIN202600000000011,EV,2026-02-16
VEH-0012,CUS-0013,DLR-001,VIN202600000000012,Sedan,2026-02-17
VEH-0013,CUS-0014,DLR-002,VIN202600000000013,SUV,2026-02-18
VEH-0014,CUS-0015,DLR-003,VIN202600000000014,EV,2026-02-19
VEH-0015,CUS-0016,DLR-004,VIN202600000000015,Sedan,2026-02-20
VEH-0016,CUS-0017,DLR-005,VIN202600000000016,SUV,2026-02-21
VEH-0017,CUS-0018,DLR-006,VIN202600000000017,EV,2026-02-22
VEH-0018,CUS-0019,DLR-001,VIN202600000000018,Sedan,2026-02-23
VEH-0019,CUS-0020,DLR-002,VIN202600000000019,SUV,2026-02-24
VEH-0020,CUS-0021,DLR-003,VIN202600000000020,EV,2026-02-25
VEH-0021,CUS-0022,DLR-004,VIN202600000000021,Sedan,2026-02-26
VEH-0022,CUS-0023,DLR-005,VIN202600000000022,SUV,2026-02-27
VEH-0023,CUS-0024,DLR-006,VIN202600000000023,EV,2026-02-28
VEH-0024,CUS-0025,DLR-001,VIN202600000000024,Sedan,2026-03-01
VEH-0025,CUS-0026,DLR-002,VIN202600000000025,SUV,2026-03-02
VEH-0026,CUS-0027,DLR-003,VIN202600000000026,EV,2026-03-03
VEH-0027,CUS-0028,DLR-004,VIN202600000000027,Sedan,2026-03-04
VEH-0028,CUS-0029,DLR-005,VIN202600000000028,SUV,2026-03-05
VEH-0029,CUS-0030,DLR-006,VIN202600000000029,EV,2026-03-06
VEH-0030,CUS-0031,DLR-001,VIN202600000000030,Sedan,2026-03-07
VEH-0031,CUS-0032,DLR-002,VIN202600000000031,SUV,2026-03-08
VEH-0032,CUS-0033,DLR-003,VIN202600000000032,EV,2026-03-09
VEH-0033,CUS-0034,DLR-004,VIN202600000000033,Sedan,2026-03-10
VEH-0034,CUS-0035,DLR-005,VIN202600000000034,SUV,2026-03-11
VEH-0035,CUS-0036,DLR-006,VIN202600000000035,EV,2026-03-12
VEH-0036,CUS-0037,DLR-001,VIN202600000000036,Sedan,2026-03-13
VEH-0037,CUS-0038,DLR-002,VIN202600000000037,SUV,2026-03-14
VEH-0038,CUS-0039,DLR-003,VIN202600000000038,EV,2026-03-15
VEH-0039,CUS-0040,DLR-004,VIN202600000000039,Sedan,2026-03-16
VEH-0040,CUS-0041,DLR-005,VIN202600000000040,SUV,2026-03-17
VEH-0041,CUS-0042,DLR-006,VIN202600000000041,EV,2026-03-18
VEH-0042,CUS-0001,DLR-001,VIN202600000000042,Sedan,2026-03-19
VEH-0043,CUS-0002,DLR-002,VIN202600000000043,SUV,2026-03-20
VEH-0044,CUS-0003,DLR-003,VIN202600000000044,EV,2026-03-21
VEH-0045,CUS-0004,DLR-004,VIN202600000000045,Sedan,2026-03-22
VEH-0046,CUS-0005,DLR-005,VIN202600000000046,SUV,2026-03-23
VEH-0047,CUS-0006,DLR-006,VIN202600000000047,EV,2026-03-24
VEH-0048,CUS-0007,DLR-001,VIN202600000000048,Sedan,2026-03-25
VEH-0049,CUS-0008,DLR-002,VIN202600000000049,SUV,2026-03-26
VEH-0050,CUS-0009,DLR-003,VIN202600000000050,EV,2026-03-27
VEH-0051,CUS-0010,DLR-004,VIN202600000000051,Sedan,2026-03-28
VEH-0052,CUS-0011,DLR-005,VIN202600000000052,SUV,2026-03-29
VEH-0053,CUS-0012,DLR-006,VIN202600000000053,EV,2026-03-30
VEH-0054,CUS-0013,DLR-001,VIN202600000000054,Sedan,2026-03-31
VEH-0055,CUS-0014,DLR-002,VIN202600000000055,SUV,2026-04-01
