account_product_id,account_id,product_id,activated_date
AP-0001,ACC-00002,PRD-002,2025-01-02
AP-0002,ACC-00003,PRD-003,2025-01-03
AP-0003,ACC-00004,PRD-004,2025-01-04
AP-0004,ACC-00005,PRD-001,2025-01-05
AP-0005,ACC-00006,PRD-002,2025-01-06
AP-0006,ACC-00007,PRD-003,2025-01-07
AP-0007,ACC-00008,PRD-004,2025-01-08
AP-0008,ACC-00009,PRD-001,2025-01-09
AP-0009,ACC-00010,PRD-002,2025-01-10
AP-0010,ACC-00011,PRD-003,2025-01-11
AP-0011,ACC-00012,PRD-004,2025-01-12
AP-0012,ACC-00013,PRD-001,2025-01-13
AP-0013,ACC-00014,PRD-002,2025-01-14
AP-0014,ACC-00015,PRD-003,2025-01-15
AP-0015,ACC-00016,PRD-004,2025-01-16
AP-0016,ACC-00017,PRD-001,2025-01-17
AP-0017,ACC-00018,PRD-002,2025-01-18
AP-0018,ACC-00019,PRD-003,2025-01-19
AP-0019,ACC-00020,PRD-004,2025-01-20
AP-0020,ACC-00021,PRD-001,2025-01-21
AP-0021,ACC-00022,PRD-002,2025-01-22
AP-0022,ACC-00023,PRD-003,2025-01-23
AP-0023,ACC-00024,PRD-004,2025-01-24
AP-0024,ACC-00025,PRD-001,2025-01-25
AP-0025,ACC-00026,PRD-002,2025-01-26
AP-0026,ACC-00027,PRD-003,2025-01-27
AP-0027,ACC-00028,PRD-004,2025-01-28
AP-0028,ACC-00029,PRD-001,2025-01-29
AP-0029,ACC-00030,PRD-002,2025-01-30
AP-0030,ACC-00031,PRD-003,2025-01-31
AP-0031,ACC-00032,PRD-004,2025-02-01
AP-0032,ACC-00033,PRD-001,2025-02-02
AP-0033,ACC-00034,PRD-002,2025-02-03
AP-0034,ACC-00035,PRD-003,2025-02-04
AP-0035,ACC-00036,PRD-004,2025-02-05
AP-0036,ACC-00037,PRD-001,2025-02-06
AP-0037,ACC-00038,PRD-002,2025-02-07
AP-0038,ACC-00039,PRD-003,2025-02-08
AP-0039,ACC-00040,PRD-004,2025-02-09
AP-0040,ACC-00041,PRD-001,2025-02-10
AP-0041,ACC-00042,PRD-002,2025-02-11
AP-0042,ACC-00043,PRD-003,2025-02-12
AP-0043,ACC-00044,PRD-004,2025-02-13
AP-0044,ACC-00045,PRD-001,2025-02-14
AP-0045,ACC-00046,PRD-002,2025-02-15
AP-0046,ACC-00047,PRD-003,2025-02-16
AP-0047,ACC-00048,PRD-004,2025-02-17
AP-0048,ACC-00049,PRD-001,2025-02-18
AP-0049,ACC-00050,PRD-002,2025-02-19
AP-0050,ACC-00051,PRD-003,2025-02-20
AP-0051,ACC-00052,PRD-004,2025-02-21
AP-0052,ACC-00053,PRD-001,2025-02-22
AP-0053,ACC-00054,PRD-002,2025-02-23
AP-0054,ACC-00055,PRD-003,2025-02-24
AP-0055,ACC-00056,PRD-004,2025-02-25
AP-0056,ACC-00057,PRD-001,2025-02-26
AP-0057,ACC-00058,PRD-002,2025-02-27
AP-0058,ACC-00059,PRD-003,2025-02-28
AP-0059,ACC-00060,PRD-004,2025-03-01
AP-0060,ACC-00061,PRD-001,2025-03-02
AP-0061,ACC-00062,PRD-002,2025-03-03
AP-0062,ACC-00063,PRD-003,2025-03-04
AP-0063,ACC-00064,PRD-004,2025-03-05
AP-0064,ACC-00065,PRD-001,2025-03-06
AP-0065,ACC-00066,PRD-002,2025-03-07
AP-0066,ACC-00067,PRD-003,2025-03-08
AP-0067,ACC-00068,PRD-004,2025-03-09
AP-0068,ACC-00069,PRD-001,2025-03-10
AP-0069,ACC-00070,PRD-002,2025-03-11
AP-0070,ACC-00001,PRD-003,2025-03-12
AP-0071,ACC-00002,PRD-004,2025-03-13
AP-0072,ACC-00003,PRD-001,2025-03-14
AP-0073,ACC-00004,PRD-002,2025-03-15
AP-0074,ACC-00005,PRD-003,2025-03-16
AP-0075,ACC-00006,PRD-004,2025-03-17
AP-0076,ACC-00007,PRD-001,2025-03-18
AP-0077,ACC-00008,PRD-002,2025-03-19
AP-0078,ACC-00009,PRD-003,2025-03-20
AP-0079,ACC-00010,PRD-004,2025-03-21
AP-0080,ACC-00011,PRD-001,2025-03-22
AP-0081,ACC-00012,PRD-002,2025-03-23
AP-0082,ACC-00013,PRD-003,2025-03-24
AP-0083,ACC-00014,PRD-004,2025-03-25
AP-0084,ACC-00015,PRD-001,2025-03-26
AP-0085,ACC-00016,PRD-002,2025-03-27
AP-0086,ACC-00017,PRD-003,2025-03-28
AP-0087,ACC-00018,PRD-004,2025-03-29
AP-0088,ACC-00019,PRD-001,2025-03-30
AP-0089,ACC-00020,PRD-002,2025-03-31
AP-0090,ACC-00021,PRD-003,2025-04-01
AP-0091,ACC-00022,PRD-004,2025-04-02
AP-0092,ACC-00023,PRD-001,2025-04-03
AP-0093,ACC-00024,PRD-002,2025-04-04
AP-0094,ACC-00025,PRD-003,2025-04-05
AP-0095,ACC-00026,PRD-004,2025-04-06
AP-0096,ACC-00027,PRD-001,2025-04-07
AP-0097,ACC-00028,PRD-002,2025-04-08
AP-0098,ACC-00029,PRD-003,2025-04-09
AP-0099,ACC-00030,PRD-004,2025-04-10
AP-0100,ACC-00031,PRD-001,2025-04-11
AP-0101,ACC-00032,PRD-002,2025-04-12
AP-0102,ACC-00033,PRD-003,2025-04-13
AP-0103,ACC-00034,PRD-004,2025-04-14
AP-0104,ACC-00035,PRD-001,2025-04-15
AP-0105,ACC-00036,PRD-002,2025-04-16
AP-0106,ACC-00037,PRD-003,2025-04-17
AP-0107,ACC-00038,PRD-004,2025-04-18
AP-0108,ACC-00039,PRD-001,2025-04-19
AP-0109,ACC-00040,PRD-002,2025-04-20
AP-0110,ACC-00041,PRD-003,2025-04-21
