transaction_id,account_id,transaction_date,transaction_type,amount,merchant_name,reference_number
TXN-000001,ACC-00002,2025-01-02,Credit,127.43,Merchant 1,REF-00001
TXN-000002,ACC-00003,2025-01-03,Transfer,154.86,Merchant 2,REF-00002
TXN-000003,ACC-00004,2025-01-04,Debit,182.29,Merchant 3,REF-00003
TXN-000004,ACC-00005,2025-01-05,Credit,209.72,Merchant 4,REF-00004
TXN-000005,ACC-00006,2025-01-06,Transfer,237.15,Merchant 5,REF-00005
TXN-000006,ACC-00007,2025-01-07,Debit,264.58,Merchant 6,REF-00006
TXN-000007,ACC-00008,2025-01-08,Credit,292.01,Merchant 7,REF-00007
TXN-000008,ACC-00009,2025-01-09,Transfer,319.44,Merchant 8,REF-00008
TXN-000009,ACC-00010,2025-01-10,Debit,346.87,Merchant 9,REF-00009
TXN-000010,ACC-00011,2025-01-11,Credit,374.3,Merchant 10,REF-00010
TXN-000011,ACC-00012,2025-01-12,Transfer,401.73,Merchant 11,REF-00011
TXN-000012,ACC-00013,2025-01-13,Debit,429.16,Merchant 12,REF-00012
TXN-000013,ACC-00014,2025-01-14,Credit,456.59,Merchant 13,REF-00013
TXN-000014,ACC-00015,2025-01-15,Transfer,484.02,Merchant 14,REF-00014
TXN-000015,,2025-01-16,Debit,511.45,Merchant 15,REF-00015
TXN-000016,ACC-00017,2025-01-17,Credit,538.88,Merchant 16,REF-00016
TXN-000017,ACC-00018,2025-01-18,Transfer,566.31,Merchant 17,REF-00017
TXN-000018,ACC-00019,2025-01-19,Debit,593.74,Merchant 18,REF-00018
TXN-000019,ACC-00020,2025-01-20,Credit,621.17,Merchant 19,REF-00019
TXN-000020,ACC-00021,2025-01-21,Transfer,648.6,Merchant 0,REF-00020
TXN-000021,ACC-00022,2025-01-22,Debit,676.03,Merchant 1,REF-00021
TXN-000022,ACC-00023,2025-01-23,Credit,703.46,Merchant 2,REF-00022
TXN-000023,ACC-00024,2025-01-24,Transfer,,Merchant 3,REF-00023
TXN-000024,ACC-00025,2025-01-25,Debit,758.32,Merchant 4,REF-00024
TXN-000025,ACC-00026,2025-01-26,Credit,785.75,Merchant 5,REF-00025
TXN-000026,ACC-00027,2025-01-27,Transfer,813.18,Merchant 6,REF-00026
TXN-000027,ACC-00028,2025-01-28,Debit,840.61,Merchant 7,REF-00027
TXN-000028,ACC-00029,2025-01-29,Credit,868.04,Merchant 8,REF-00028
TXN-000029,ACC-00030,2025-01-30,Transfer,895.47,Merchant 9,REF-00029
TXN-000030,ACC-00031,2025-01-31,Debit,922.9,Merchant 10,REF-00030
TXN-000031,ACC-00032,2025-02-01,Credit,950.33,Merchant 11,REF-00031
TXN-000032,ACC-00033,2025-02-02,Transfer,977.76,Merchant 12,REF-00032
TXN-000033,ACC-00034,2025-02-03,Debit,1005.19,Merchant 13,REF-00033
TXN-000034,ACC-00035,2025-02-04,Credit,1032.62,Merchant 14,REF-00034
TXN-000035,ACC-00036,2025-02-05,Transfer,1060.05,Merchant 15,REF-00035
TXN-000036,ACC-00037,2025-02-06,Debit,1087.48,Merchant 16,REF-00036
TXN-000037,ACC-00038,2025-02-07,Credit,1114.91,Merchant 17,REF-00037
TXN-000038,ACC-00039,2025-02-08,Transfer,1142.34,Merchant 18,REF-00038
TXN-000039,ACC-00040,2025-02-09,Debit,1169.77,Merchant 19,REF-00039
TXN-000040,ACC-00041,2025-02-10,Credit,1197.2,Merchant 0,REF-00040
TXN-000041,ACC-00042,2025-02-11,Transfer,1224.63,Merchant 1,REF-00041
TXN-000042,ACC-00043,2025-02-12,Debit,1252.06,Merchant 2,REF-00042
TXN-000043,ACC-00044,2025-02-13,Credit,1279.49,Merchant 3,REF-00043
TXN-000044,ACC-00045,2025-02-14,Transfer,1306.92,Merchant 4,REF-00044
TXN-000045,ACC-00046,2025-02-15,Debit,1334.35,Merchant 5,REF-00045
TXN-000046,ACC-00047,2025-02-16,Credit,1361.78,Merchant 6,REF-00046
TXN-000047,ACC-00048,2025-02-17,Transfer,1389.21,Merchant 7,REF-00047
