bill_id,customer_id,meter_id,tariff_id,bill_date,billing_amount,due_amount,payment_status
BIL-000001,CUS-0002,MTR-00002,TAR-002,2025-01-02,439.8,180,Paid
BIL-000002,CUS-0003,MTR-00003,TAR-003,2025-01-03,479.6,260,Paid
BIL-000003,CUS-0004,MTR-00004,TAR-001,2025-01-04,519.4,340,Paid
BIL-000004,CUS-0005,MTR-00005,TAR-002,2025-01-05,559.2,420,Overdue
BIL-000005,CUS-0006,MTR-00006,TAR-003,2025-01-06,599.0,500,Paid
BIL-000006,CUS-0007,MTR-00007,TAR-001,2025-01-07,638.8,100,Paid
BIL-000007,CUS-0008,MTR-00008,TAR-002,2025-01-08,678.6,180,Paid
BIL-000008,CUS-0009,MTR-00009,TAR-003,2025-01-09,718.4,260,Overdue
BIL-000009,CUS-0010,MTR-00010,TAR-001,2025-01-10,758.2,340,Paid
BIL-000010,CUS-0011,MTR-00011,TAR-002,2025-01-11,798.0,420,Paid
BIL-000011,CUS-0012,MTR-00012,TAR-003,2025-01-12,837.8,500,Paid
BIL-000012,CUS-0013,MTR-00013,TAR-001,2025-01-13,877.6,100,Overdue
BIL-000013,CUS-0014,MTR-00014,TAR-002,2025-01-14,917.4,180,Paid
BIL-000014,CUS-0015,MTR-00015,TAR-003,2025-01-15,957.2,260,Paid
BIL-000015,CUS-0016,MTR-00016,TAR-001,2025-01-16,997.0,340,Paid
BIL-000016,CUS-0017,MTR-00017,TAR-002,2025-01-17,1036.8,420,Overdue
BIL-000017,CUS-0018,MTR-00018,TAR-003,2025-01-18,1076.6,500,Paid
BIL-000018,CUS-0019,MTR-00019,,2025-01-19,1116.4,100,Paid
BIL-000019,CUS-0020,MTR-00020,TAR-002,2025-01-20,1156.2,180,Paid
BIL-000020,CUS-0021,MTR-00021,TAR-003,2025-01-21,1196.0,260,Overdue
BIL-000021,CUS-0022,MTR-00022,TAR-001,2025-01-22,1235.8,340,Paid
BIL-000022,CUS-0023,MTR-00023,TAR-002,2025-01-23,1275.6,420,Paid
BIL-000023,CUS-0024,MTR-00024,TAR-003,2025-01-24,1315.4,500,Paid
BIL-000024,CUS-0025,MTR-00025,TAR-001,2025-01-25,1355.2,100,Overdue
BIL-000025,CUS-0026,MTR-00026,TAR-002,2025-01-26,1395.0,180,Paid
BIL-000026,CUS-0027,MTR-00027,TAR-003,2025-01-27,1434.8,260,Paid
BIL-000027,CUS-0028,MTR-00028,TAR-001,2025-01-28,1474.6,340,Paid
BIL-000028,CUS-0029,MTR-00029,TAR-002,2025-01-29,1514.4,420,Overdue
BIL-000029,CUS-0030,MTR-00030,TAR-003,2025-01-30,1554.2,500,Paid
BIL-000030,CUS-0031,MTR-00031,TAR-001,2025-01-31,1594.0,100,Paid
BIL-000031,CUS-0032,MTR-00032,TAR-002,2025-02-01,1633.8,180,Paid
BIL-000032,CUS-0033,MTR-00033,TAR-003,2025-02-02,1673.6,260,Overdue
BIL-000033,CUS-0034,MTR-00034,TAR-001,2025-02-03,1713.4,340,Paid
BIL-000034,CUS-0035,MTR-00035,TAR-002,2025-02-04,1753.2,420,Paid
BIL-000035,CUS-0036,MTR-00036,TAR-003,2025-02-05,1793.0,500,Paid
BIL-000036,CUS-0037,MTR-00037,TAR-001,2025-02-06,1832.8,100,Overdue
BIL-000037,CUS-0038,MTR-00038,TAR-002,2025-02-07,1872.6,180,Paid
BIL-000038,CUS-0039,MTR-00039,TAR-003,2025-02-08,1912.4,260,Paid
BIL-000039,CUS-0040,MTR-00040,TAR-001,2025-02-09,1952.2,340,Paid
BIL-000040,CUS-0041,MTR-00041,TAR-002,2025-02-10,1992.0,420,Overdue
BIL-000041,CUS-0042,MTR-00042,TAR-003,2025-02-11,2031.8,500,Paid
BIL-000042,CUS-0043,MTR-00043,TAR-001,2025-02-12,2071.6,100,Paid
BIL-000043,CUS-0044,MTR-00044,TAR-002,2025-02-13,2111.4,180,Paid
BIL-000044,CUS-0045,MTR-00045,TAR-003,2025-02-14,2151.2,260,Overdue
BIL-000045,CUS-0001,MTR-00046,TAR-001,2025-02-15,2191.0,340,Paid
BIL-000046,CUS-0002,MTR-00047,TAR-002,2025-02-16,2230.8,420,Paid
BIL-000047,CUS-0003,MTR-00048,TAR-003,2025-02-17,2270.6,500,Paid
BIL-000048,CUS-0004,MTR-00049,TAR-001,2025-02-18,2310.4,100,Overdue
BIL-000049,CUS-0005,MTR-00050,TAR-002,2025-02-19,2350.2,180,Paid
BIL-000050,CUS-0006,MTR-00051,TAR-003,2025-02-20,2390.0,260,Paid
BIL-000051,CUS-0007,MTR-00052,TAR-001,2025-02-21,2429.8,340,Paid
BIL-000052,CUS-0008,MTR-00053,TAR-002,2025-02-22,2469.6,420,Overdue
BIL-000053,CUS-0009,MTR-00054,TAR-003,2025-02-23,2509.4,500,Paid
BIL-000054,CUS-0010,MTR-00055,TAR-001,2025-02-24,2549.2,100,Paid
BIL-000055,CUS-0011,MTR-00056,TAR-002,2025-02-25,2589.0,180,Paid
BIL-000056,CUS-0012,MTR-00057,TAR-003,2025-02-26,2628.8,260,Overdue
BIL-000057,CUS-0013,MTR-00058,TAR-001,2025-02-27,2668.6,340,Paid
BIL-000058,CUS-0014,MTR-00059,TAR-002,2025-02-28,2708.4,420,Paid
BIL-000059,CUS-0015,MTR-00060,TAR-003,2025-03-01,2748.2,500,Paid
BIL-000060,CUS-0016,MTR-00061,TAR-001,2025-03-02,2788.0,100,Overdue
BIL-000061,CUS-0017,MTR-00062,TAR-002,2025-03-03,2827.8,180,Paid
BIL-000062,CUS-0018,MTR-00063,TAR-003,2025-03-04,2867.6,260,Paid
BIL-000063,CUS-0019,MTR-00064,TAR-001,2025-03-05,2907.4,340,Paid
BIL-000064,CUS-0020,MTR-00065,TAR-002,2025-03-06,2947.2,420,Overdue
BIL-000065,CUS-0021,MTR-00066,TAR-003,2025-03-07,2987.0,500,Paid
BIL-000066,CUS-0022,MTR-00067,TAR-001,2025-03-08,3026.8,100,Paid
BIL-000067,CUS-0023,MTR-00068,TAR-002,2025-03-09,3066.6,180,Paid
BIL-000068,CUS-0024,MTR-00069,TAR-003,2025-03-10,3106.4,260,Overdue
BIL-000069,CUS-0025,MTR-00070,TAR-001,2025-03-11,3146.2,340,Paid
BIL-000070,CUS-0026,MTR-00001,TAR-002,2025-03-12,3186.0,420,Paid
BIL-000071,CUS-0027,MTR-00002,TAR-003,2025-03-13,3225.8,500,Paid
BIL-000072,CUS-0028,MTR-00003,TAR-001,2025-03-14,3265.6,100,Overdue
BIL-000073,CUS-0029,MTR-00004,TAR-002,2025-03-15,3305.4,180,Paid
BIL-000074,CUS-0030,MTR-00005,TAR-003,2025-03-16,3345.2,260,Paid
BIL-000075,CUS-0031,MTR-00006,TAR-001,2025-03-17,3385.0,340,Paid
BIL-000076,CUS-0032,MTR-00007,TAR-002,2025-03-18,3424.8,420,Overdue
BIL-000077,CUS-0033,MTR-00008,TAR-003,2025-03-19,3464.6,500,Paid
BIL-000078,CUS-0034,MTR-00009,TAR-001,2025-03-20,3504.4,100,Paid
BIL-000079,CUS-0035,MTR-00010,TAR-002,2025-03-21,3544.2,180,Paid
BIL-000080,CUS-0036,MTR-00011,TAR-003,2025-03-22,3584.0,260,Overdue
BIL-000081,CUS-0037,MTR-00012,TAR-001,2025-03-23,3623.8,340,Paid
BIL-000082,CUS-0038,MTR-00013,TAR-002,2025-03-24,3663.6,420,Paid
BIL-000083,CUS-0039,MTR-00014,TAR-003,2025-03-25,3703.4,500,Paid
BIL-000084,CUS-0040,MTR-00015,TAR-001,2025-03-26,3743.2,100,Overdue
BIL-000085,CUS-0041,MTR-00016,TAR-002,2025-03-27,3783.0,180,Paid
BIL-000086,CUS-0042,MTR-00017,TAR-003,2025-03-28,3822.8,260,Paid
BIL-000087,CUS-0043,MTR-00018,TAR-001,2025-03-29,3862.6,340,Paid
BIL-000088,CUS-0044,MTR-00019,TAR-002,2025-03-30,3902.4,420,Overdue
BIL-000089,CUS-0045,MTR-00020,TAR-003,2025-03-31,3942.2,500,Paid
BIL-000090,CUS-0001,MTR-00021,TAR-001,2025-04-01,3982.0,100,Paid
BIL-000091,CUS-0002,MTR-00022,TAR-002,2025-04-02,4021.8,180,Paid
BIL-000092,CUS-0003,MTR-00023,TAR-003,2025-04-03,4061.6,260,Overdue
BIL-000093,CUS-0004,MTR-00024,TAR-001,2025-04-04,4101.4,340,Paid
BIL-000094,CUS-0005,MTR-00025,TAR-002,2025-04-05,4141.2,420,Paid
BIL-000095,CUS-0006,MTR-00026,TAR-003,2025-04-06,4181.0,500,Paid
BIL-000096,CUS-0007,MTR-00027,TAR-001,2025-04-07,4220.8,100,Overdue
BIL-000097,CUS-0008,MTR-00028,TAR-002,2025-04-08,4260.6,180,Paid
BIL-000098,CUS-0009,MTR-00029,TAR-003,2025-04-09,4300.4,260,Paid
BIL-000099,CUS-0010,MTR-00030,TAR-001,2025-04-10,4340.2,340,Paid
BIL-000100,CUS-0011,MTR-00031,TAR-002,2025-04-11,4380.0,420,Overdue
BIL-000101,CUS-0012,MTR-00032,TAR-003,2025-04-12,4419.8,500,Paid
BIL-000102,CUS-0013,MTR-00033,TAR-001,2025-04-13,4459.6,100,Paid
BIL-000103,CUS-0014,MTR-00034,TAR-002,2025-04-14,4499.4,180,Paid
BIL-000104,CUS-0015,MTR-00035,TAR-003,2025-04-15,4539.2,260,Overdue
BIL-000105,CUS-0016,MTR-00036,TAR-001,2025-04-16,4579.0,340,Paid
BIL-000106,CUS-0017,MTR-00037,TAR-002,2025-04-17,4618.8,420,Paid
BIL-000107,CUS-0018,MTR-00038,TAR-003,2025-04-18,4658.6,500,Paid
BIL-000108,CUS-0019,MTR-00039,TAR-001,2025-04-19,4698.4,100,Overdue
BIL-000109,CUS-0020,MTR-00040,TAR-002,2025-04-20,4738.2,180,Paid
BIL-000110,CUS-0021,MTR-00041,TAR-003,2025-04-21,4778.0,260,Paid
BIL-000111,CUS-0022,MTR-00042,TAR-001,2025-04-22,4817.8,340,Paid
BIL-000112,CUS-0023,MTR-00043,TAR-002,2025-04-23,4857.6,420,Overdue
BIL-000113,CUS-0024,MTR-00044,TAR-003,2025-04-24,4897.4,500,Paid
BIL-000114,CUS-0025,MTR-00045,TAR-001,2025-04-25,4937.2,100,Paid
BIL-000115,CUS-0026,MTR-00046,TAR-002,2025-04-26,4977.0,180,Paid
BIL-000116,CUS-0027,MTR-00047,TAR-003,2025-04-27,5016.8,260,Overdue
