meter_id,customer_id,site_id,meter_number,install_date,meter_type
MTR-00001,CUS-0002,SIT-002,EM202600001,2025-10-29,Smart
MTR-00002,CUS-0003,SIT-003,EM202600002,2025-10-30,Smart
MTR-00003,CUS-0004,SIT-004,EM202600003,2025-10-31,Standard
MTR-00004,CUS-0005,SIT-005,EM202600004,2025-11-01,Smart
MTR-00005,CUS-0006,SIT-006,EM202600005,2025-11-02,Smart
MTR-00006,CUS-0007,SIT-001,EM202600006,2025-11-03,Standard
MTR-00007,CUS-0008,SIT-002,EM202600007,2025-11-04,Smart
MTR-00008,CUS-0009,SIT-003,EM202600008,2025-11-05,Smart
MTR-00009,CUS-0010,SIT-004,EM202600009,2025-11-06,Standard
MTR-00010,CUS-0011,SIT-005,EM202600010,2025-11-07,Smart
MTR-00011,CUS-0012,SIT-006,EM202600011,2025-11-08,Smart
MTR-00012,CUS-0013,SIT-001,EM202600012,2025-11-09,Standard
MTR-00013,CUS-0014,SIT-002,EM202600013,2025-11-10,Smart
MTR-00014,CUS-0015,SIT-003,EM202600014,2025-11-11,Smart
MTR-00015,CUS-0016,SIT-004,EM202600015,2025-11-12,Standard
MTR-00016,CUS-0017,SIT-005,EM202600016,2025-11-13,Smart
MTR-00017,CUS-0018,SIT-006,EM202600017,2025-11-14,Smart
MTR-00018,CUS-0019,SIT-001,EM202600018,2025-11-15,Standard
MTR-00019,CUS-0020,SIT-002,EM202600019,2025-11-16,Smart
MTR-00020,CUS-0021,SIT-003,EM202600020,2025-11-17,Smart
MTR-00021,CUS-0022,SIT-004,EM202600021,2025-11-18,Standard
MTR-00022,CUS-0023,SIT-005,EM202600022,2025-11-19,Smart
MTR-00023,CUS-0024,SIT-006,EM202600023,2025-11-20,Smart
MTR-00024,CUS-0025,SIT-001,EM202600024,2025-11-21,Standard
MTR-00025,CUS-0026,SIT-002,EM202600025,2025-11-22,Smart
MTR-00026,CUS-0027,SIT-003,EM202600026,2025-11-23,Smart
MTR-00027,CUS-0028,SIT-004,EM202600027,2025-11-24,Standard
MTR-00028,CUS-0029,SIT-005,EM202600028,2025-11-25,Smart
MTR-00029,CUS-0030,SIT-006,EM202600029,2025-11-26,Smart
MTR-00030,CUS-0031,SIT-001,EM202600030,2025-11-27,Standard
MTR-00031,CUS-0032,SIT-002,EM202600031,2025-11-28,Smart
MTR-00032,CUS-0033,SIT-003,EM202600032,2025-11-29,Smart
MTR-00033,CUS-0034,SIT-004,EM202600033,2025-11-30,Standard
MTR-00034,CUS-0035,SIT-005,EM202600034,2025-12-01,Smart
MTR-00035,CUS-0036,SIT-006,EM202600035,2025-12-02,Smart
MTR-00036,CUS-0037,SIT-001,EM202600036,2025-12-03,Standard
MTR-00037,CUS-0038,SIT-002,EM202600037,2025-12-04,Smart
MTR-00038,CUS-0039,SIT-003,EM202600038,2025-12-05,Smart
MTR-00039,CUS-0040,SIT-004,EM202600039,2025-12-06,Standard
MTR-00040,CUS-0041,SIT-005,EM202600040,2025-12-07,Smart
MTR-00041,CUS-0042,SIT-006,EM202600041,2025-12-08,Smart
MTR-00042,CUS-0043,SIT-001,EM202600042,2025-12-09,Standard
MTR-00043,CUS-0044,SIT-002,EM202600043,2025-12-10,Smart
MTR-00044,CUS-0045,SIT-003,EM202600044,2025-12-11,Smart
MTR-00045,CUS-0001,SIT-004,EM202600045,2025-12-12,Standard
MTR-00046,CUS-0002,SIT-005,EM202600046,2025-12-13,Smart
MTR-00047,CUS-0003,SIT-006,EM202600047,2025-12-14,Smart
MTR-00048,CUS-0004,SIT-001,EM202600048,2025-12-15,Standard
MTR-00049,CUS-0005,SIT-002,EM202600049,2025-12-16,Smart
MTR-00050,CUS-0006,SIT-003,EM202600050,2025-12-17,Smart
MTR-00051,CUS-0007,SIT-004,EM202600051,2025-12-18,Standard
MTR-00052,CUS-0008,SIT-005,EM202600052,2025-12-19,Smart
MTR-00053,CUS-0009,SIT-006,EM202600053,2025-12-20,Smart
MTR-00054,CUS-0010,SIT-001,EM202600054,2025-12-21,Standard
MTR-00055,CUS-0011,SIT-002,EM202600055,2025-12-22,Smart
MTR-00056,CUS-0012,SIT-003,EM202600056,2025-12-23,Smart
MTR-00057,CUS-0013,SIT-004,EM202600057,2025-12-24,Standard
MTR-00058,CUS-0014,SIT-005,EM202600058,2025-12-25,Smart
MTR-00059,CUS-0015,SIT-006,EM202600059,2025-12-26,Smart
MTR-00060,CUS-0016,SIT-001,EM202600060,2025-12-27,Standard
MTR-00061,CUS-0017,SIT-002,EM202600061,2025-12-28,Smart
MTR-00062,CUS-0018,SIT-003,EM202600062,2025-12-29,Smart
MTR-00063,CUS-0019,SIT-004,EM202600063,2025-12-30,Standard
MTR-00064,CUS-0020,SIT-005,EM202600064,2025-12-31,Smart
MTR-00065,CUS-0021,SIT-006,EM202600065,2026-01-01,Smart
MTR-00066,CUS-0022,SIT-001,EM202600066,2026-01-02,Standard
MTR-00067,CUS-0023,SIT-002,EM202600067,2026-01-03,Smart
MTR-00068,CUS-0024,SIT-003,EM202600068,2026-01-04,Smart
MTR-00069,CUS-0025,SIT-004,EM202600069,2026-01-05,Standard
MTR-00070,CUS-0026,SIT-005,EM202600070,2026-01-06,Smart
