reading_id,meter_id,reading_date,kwh_consumed,peak_kw,estimated_flag
RDG-000001,MTR-00002,2025-01-02,16.3,2.6,N
RDG-000002,MTR-00003,2025-01-03,17.6,3.2,N
RDG-000003,MTR-00004,2025-01-04,18.9,3.8,N
RDG-000004,MTR-00005,2025-01-05,20.2,4.4,N
RDG-000005,MTR-00006,2025-01-06,21.5,5.0,N
RDG-000006,MTR-00007,2025-01-07,22.8,5.6,N
RDG-000007,MTR-00008,2025-01-08,24.1,6.2,N
RDG-000008,MTR-00009,2025-01-09,25.4,6.8,N
RDG-000009,MTR-00010,2025-01-10,26.7,7.4,N
RDG-000010,,2025-01-11,28.0,2.0,N
RDG-000011,MTR-00012,2025-01-12,29.3,2.6,N
RDG-000012,MTR-00013,2025-01-13,30.6,3.2,N
RDG-000013,MTR-00014,2025-01-14,31.9,3.8,N
RDG-000014,MTR-00015,2025-01-15,33.2,4.4,N
RDG-000015,MTR-00016,2025-01-16,34.5,5.0,N
RDG-000016,MTR-00017,2025-01-17,35.8,5.6,N
RDG-000017,MTR-00018,2025-01-18,37.1,6.2,N
RDG-000018,MTR-00019,2025-01-19,38.4,6.8,N
RDG-000019,MTR-00020,2025-01-20,39.7,7.4,Y
RDG-000020,MTR-00021,2025-01-21,41.0,2.0,N
RDG-000021,MTR-00022,2025-01-22,42.3,2.6,N
RDG-000022,MTR-00023,2025-01-23,43.6,3.2,N
RDG-000023,MTR-00024,2025-01-24,44.9,3.8,N
RDG-000024,MTR-00025,2025-01-25,46.2,4.4,N
RDG-000025,MTR-00026,2025-01-26,47.5,5.0,N
RDG-000026,MTR-00027,2025-01-27,48.8,5.6,N
RDG-000027,MTR-00028,2025-01-28,50.1,6.2,N
RDG-000028,MTR-00029,2025-01-29,51.4,6.8,N
RDG-000029,MTR-00030,2025-01-30,52.7,7.4,N
RDG-000030,MTR-00031,2025-01-31,54.0,2.0,N
RDG-000031,MTR-00032,2025-02-01,55.3,2.6,N
RDG-000032,MTR-00033,2025-02-02,56.6,3.2,N
RDG-000033,MTR-00034,2025-02-03,57.9,3.8,N
RDG-000034,MTR-00035,2025-02-04,59.2,4.4,N
RDG-000035,MTR-00036,2025-02-05,60.5,5.0,N
RDG-000036,MTR-00037,2025-02-06,61.8,5.6,N
RDG-000037,MTR-00038,2025-02-07,63.1,6.2,N
RDG-000038,MTR-00039,2025-02-08,64.4,6.8,Y
RDG-000039,MTR-00040,2025-02-09,65.7,7.4,N
RDG-000040,MTR-00041,2025-02-10,67.0,2.0,N
RDG-000041,MTR-00042,2025-02-11,68.3,2.6,N
RDG-000042,MTR-00043,2025-02-12,69.6,3.2,N
RDG-000043,MTR-00044,2025-02-13,70.9,3.8,N
RDG-000044,MTR-00045,2025-02-14,72.2,4.4,N
RDG-000045,MTR-00046,2025-02-15,73.5,5.0,N
RDG-000046,MTR-00047,2025-02-16,74.8,5.6,N
RDG-000047,MTR-00048,2025-02-17,76.1,6.2,N
RDG-000048,MTR-00049,2025-02-18,77.4,6.8,N
RDG-000049,MTR-00050,2025-02-19,78.7,7.4,N
RDG-000050,MTR-00051,2025-02-20,80.0,2.0,N
RDG-000051,MTR-00052,2025-02-21,81.3,2.6,N
RDG-000052,MTR-00053,2025-02-22,82.6,3.2,N
RDG-000053,MTR-00054,2025-02-23,83.9,3.8,N
RDG-000054,MTR-00055,2025-02-24,85.2,4.4,N
RDG-000055,MTR-00056,2025-02-25,86.5,5.0,N
RDG-000056,MTR-00057,2025-02-26,87.8,5.6,N
RDG-000057,MTR-00058,2025-02-27,89.1,6.2,Y
RDG-000058,MTR-00059,2025-02-28,90.4,6.8,N
RDG-000059,MTR-00060,2025-03-01,91.7,7.4,N
RDG-000060,MTR-00061,2025-03-02,93.0,2.0,N
RDG-000061,MTR-00062,2025-03-03,94.3,2.6,N
RDG-000062,MTR-00063,2025-03-04,95.6,3.2,N
RDG-000063,MTR-00064,2025-03-05,96.9,3.8,N
RDG-000064,MTR-00065,2025-03-06,98.2,4.4,N
RDG-000065,MTR-00066,2025-03-07,99.5,5.0,N
RDG-000066,MTR-00067,2025-03-08,100.8,5.6,N
RDG-000067,MTR-00068,2025-03-09,102.1,6.2,N
RDG-000068,MTR-00069,2025-03-10,103.4,6.8,N
RDG-000069,MTR-00070,2025-03-11,104.7,7.4,N
RDG-000070,MTR-00001,2025-03-12,106.0,2.0,N
RDG-000071,MTR-00002,2025-03-13,107.3,2.6,N
RDG-000072,MTR-00003,2025-03-14,108.6,3.2,N
RDG-000073,MTR-00004,2025-03-15,109.9,3.8,N
RDG-000074,MTR-00005,2025-03-16,111.2,4.4,N
RDG-000075,MTR-00006,2025-03-17,112.5,5.0,N
RDG-000076,MTR-00007,2025-03-18,113.8,5.6,Y
RDG-000077,MTR-00008,2025-03-19,115.1,6.2,N
RDG-000078,MTR-00009,2025-03-20,116.4,6.8,N
RDG-000079,MTR-00010,2025-03-21,117.7,7.4,N
RDG-000080,MTR-00011,2025-03-22,119.0,2.0,N
RDG-000081,MTR-00012,2025-03-23,120.3,2.6,N
RDG-000082,MTR-00013,2025-03-24,121.6,3.2,N
RDG-000083,MTR-00014,2025-03-25,122.9,3.8,N
RDG-000084,MTR-00015,2025-03-26,124.2,4.4,N
RDG-000085,MTR-00016,2025-03-27,125.5,5.0,N
RDG-000086,MTR-00017,2025-03-28,126.8,5.6,N
RDG-000087,MTR-00018,2025-03-29,128.1,6.2,N
RDG-000088,MTR-00019,2025-03-30,129.4,6.8,N
RDG-000089,MTR-00020,2025-03-31,130.7,7.4,N
RDG-000090,MTR-00021,2025-04-01,15.0,2.0,N
RDG-000091,MTR-00022,2025-04-02,16.3,2.6,N
