attendance_id,employee_id,attendance_date,attendance_status,hours_worked,overtime_hours
ATT-000001,EMP-0002,2025-01-02,Leave,6.5,0.5
ATT-000002,EMP-0003,2025-01-03,Remote,7.0,1.0
ATT-000003,EMP-0004,2025-01-04,Present,7.5,0.0
ATT-000004,EMP-0005,2025-01-05,Leave,6.0,0.5
ATT-000005,EMP-0006,2025-01-06,Remote,6.5,1.0
ATT-000006,EMP-0007,2025-01-07,Present,7.0,0.0
ATT-000007,EMP-0008,2025-01-08,Present,7.5,0.5
ATT-000008,EMP-0009,2025-01-09,Leave,6.0,1.0
ATT-000009,EMP-0010,2025-01-10,Remote,6.5,0.0
ATT-000010,EMP-0011,2025-01-11,Present,7.0,0.5
ATT-000011,EMP-0012,2025-01-12,Leave,7.5,1.0
ATT-000012,EMP-0013,2025-01-13,Remote,6.0,0.0
ATT-000013,EMP-0014,2025-01-14,Present,6.5,0.5
ATT-000014,EMP-0015,2025-01-15,Present,7.0,1.0
ATT-000015,EMP-0016,2025-01-16,Leave,7.5,0.0
ATT-000016,EMP-0017,2025-01-17,Remote,6.0,0.5
ATT-000017,EMP-0018,2025-01-18,Present,6.5,1.0
ATT-000018,EMP-0019,2025-01-19,Leave,7.0,0.0
ATT-000019,EMP-0020,2025-01-20,Remote,7.5,0.5
ATT-000020,EMP-0021,2025-01-21,Present,6.0,1.0
ATT-000021,EMP-0022,2025-01-22,Present,6.5,0.0
ATT-000022,EMP-0023,2025-01-23,Leave,7.0,0.5
ATT-000023,EMP-0024,2025-01-24,Remote,7.5,1.0
ATT-000024,EMP-0025,2025-01-25,Present,6.0,0.0
ATT-000025,EMP-0026,2025-01-26,Leave,6.5,0.5
ATT-000026,EMP-0027,2025-01-27,Remote,7.0,1.0
ATT-000027,EMP-0028,2025-01-28,Present,7.5,0.0
ATT-000028,EMP-0029,2025-01-29,Present,6.0,0.5
ATT-000029,EMP-0030,2025-01-30,Leave,6.5,1.0
ATT-000030,EMP-0031,2025-01-31,Remote,7.0,0.0
