employee_benefit_id,employee_id,benefit_id,enrollment_date,benefit_status
EB-00001,EMP-0002,BEN-002,2025-01-02,Enrolled
EB-00002,EMP-0003,BEN-003,2025-01-03,Enrolled
EB-00003,EMP-0004,BEN-004,2025-01-04,Enrolled
EB-00004,EMP-0005,BEN-005,2025-01-05,Enrolled
EB-00005,EMP-0006,BEN-001,2025-01-06,Enrolled
EB-00006,EMP-0007,BEN-002,2025-01-07,Enrolled
EB-00007,EMP-0008,BEN-003,2025-01-08,Enrolled
EB-00008,EMP-0009,BEN-004,2025-01-09,Enrolled
EB-00009,EMP-0010,BEN-005,2025-01-10,Enrolled
EB-00010,EMP-0011,BEN-001,2025-01-11,Enrolled
EB-00011,EMP-0012,BEN-002,2025-01-12,Enrolled
EB-00012,EMP-0013,BEN-003,2025-01-13,Enrolled
EB-00013,EMP-0014,BEN-004,2025-01-14,Enrolled
EB-00014,EMP-0015,BEN-005,2025-01-15,Enrolled
EB-00015,EMP-0016,BEN-001,2025-01-16,Enrolled
EB-00016,EMP-0017,BEN-002,2025-01-17,Enrolled
EB-00017,EMP-0018,BEN-003,2025-01-18,Enrolled
EB-00018,EMP-0019,BEN-004,2025-01-19,Enrolled
EB-00019,EMP-0020,BEN-005,2025-01-20,Enrolled
EB-00020,EMP-0021,BEN-001,2025-01-21,Enrolled
EB-00021,EMP-0022,BEN-002,2025-01-22,Enrolled
EB-00022,EMP-0023,BEN-003,2025-01-23,Enrolled
EB-00023,EMP-0024,BEN-004,2025-01-24,Enrolled
EB-00024,EMP-0025,BEN-005,2025-01-25,Enrolled
EB-00025,EMP-0026,BEN-001,2025-01-26,Enrolled
EB-00026,EMP-0027,BEN-002,2025-01-27,Enrolled
EB-00027,EMP-0028,BEN-003,2025-01-28,Enrolled
EB-00028,EMP-0029,BEN-004,2025-01-29,Enrolled
EB-00029,EMP-0030,BEN-005,2025-01-30,Enrolled
EB-00030,EMP-0031,BEN-001,2025-01-31,Enrolled
EB-00031,EMP-0032,BEN-002,2025-02-01,Enrolled
EB-00032,EMP-0033,BEN-003,2025-02-02,Enrolled
EB-00033,EMP-0034,BEN-004,2025-02-03,Enrolled
EB-00034,EMP-0035,BEN-005,2025-02-04,Enrolled
EB-00035,EMP-0036,BEN-001,2025-02-05,Enrolled
EB-00036,EMP-0037,BEN-002,2025-02-06,Enrolled
EB-00037,EMP-0038,BEN-003,2025-02-07,Enrolled
EB-00038,EMP-0039,BEN-004,2025-02-08,Enrolled
EB-00039,EMP-0040,BEN-005,2025-02-09,Enrolled
EB-00040,EMP-0041,BEN-001,2025-02-10,Enrolled
EB-00041,EMP-0042,BEN-002,2025-02-11,Enrolled
EB-00042,EMP-0043,BEN-003,2025-02-12,Enrolled
EB-00043,EMP-0044,BEN-004,2025-02-13,Enrolled
EB-00044,EMP-0045,BEN-005,2025-02-14,Enrolled
EB-00045,EMP-0046,BEN-001,2025-02-15,Enrolled
EB-00046,EMP-0047,BEN-002,2025-02-16,Enrolled
EB-00047,EMP-0048,BEN-003,2025-02-17,Enrolled
EB-00048,EMP-0049,BEN-004,2025-02-18,Enrolled
EB-00049,EMP-0050,BEN-005,2025-02-19,Enrolled
EB-00050,EMP-0051,BEN-001,2025-02-20,Enrolled
EB-00051,EMP-0052,BEN-002,2025-02-21,Enrolled
EB-00052,EMP-0053,BEN-003,2025-02-22,Enrolled
EB-00053,EMP-0054,BEN-004,2025-02-23,Enrolled
EB-00054,EMP-0055,BEN-005,2025-02-24,Enrolled
EB-00055,EMP-0056,BEN-001,2025-02-25,Enrolled
EB-00056,EMP-0057,BEN-002,2025-02-26,Enrolled
EB-00057,EMP-0058,BEN-003,2025-02-27,Enrolled
EB-00058,EMP-0059,BEN-004,2025-02-28,Enrolled
EB-00059,EMP-0060,BEN-005,2025-03-01,Enrolled
EB-00060,EMP-0001,BEN-001,2025-03-02,Enrolled
EB-00061,EMP-0002,BEN-002,2025-03-03,Enrolled
EB-00062,EMP-0003,BEN-003,2025-03-04,Enrolled
EB-00063,EMP-0004,BEN-004,2025-03-05,Enrolled
EB-00064,EMP-0005,BEN-005,2025-03-06,Enrolled
EB-00065,EMP-0006,BEN-001,2025-03-07,Enrolled
EB-00066,EMP-0007,BEN-002,2025-03-08,Enrolled
EB-00067,EMP-0008,BEN-003,2025-03-09,Enrolled
EB-00068,EMP-0009,BEN-004,2025-03-10,Enrolled
EB-00069,EMP-0010,BEN-005,2025-03-11,Enrolled
EB-00070,EMP-0011,BEN-001,2025-03-12,Enrolled
EB-00071,EMP-0012,BEN-002,2025-03-13,Enrolled
EB-00072,EMP-0013,BEN-003,2025-03-14,Enrolled
EB-00073,EMP-0014,BEN-004,2025-03-15,Enrolled
EB-00074,EMP-0015,BEN-005,2025-03-16,Enrolled
EB-00075,EMP-0016,BEN-001,2025-03-17,Enrolled
EB-00076,EMP-0017,BEN-002,2025-03-18,Enrolled
EB-00077,EMP-0018,BEN-003,2025-03-19,Enrolled
EB-00078,EMP-0019,BEN-004,2025-03-20,Enrolled
EB-00079,EMP-0020,BEN-005,2025-03-21,Enrolled
EB-00080,EMP-0021,BEN-001,2025-03-22,Enrolled
EB-00081,EMP-0022,BEN-002,2025-03-23,Enrolled
EB-00082,EMP-0023,BEN-003,2025-03-24,Enrolled
EB-00083,EMP-0024,BEN-004,2025-03-25,Enrolled
EB-00084,EMP-0025,BEN-005,2025-03-26,Enrolled
EB-00085,EMP-0026,BEN-001,2025-03-27,Enrolled
EB-00086,EMP-0027,BEN-002,2025-03-28,Enrolled
EB-00087,EMP-0028,BEN-003,2025-03-29,Enrolled
EB-00088,EMP-0029,BEN-004,2025-03-30,Enrolled
EB-00089,EMP-0030,BEN-005,2025-03-31,Enrolled
EB-00090,EMP-0031,BEN-001,2025-04-01,Enrolled
