payroll_id,employee_id,pay_period,gross_salary,bonus_amount,tax_deducted
PAY-000001,EMP-0002,2025-01-31,46300,1500,4180
PAY-000002,EMP-0003,2025-03-02,47600,3000,4360
PAY-000003,EMP-0004,2025-04-01,48900,4500,4540
PAY-000004,EMP-0005,2025-05-01,50200,6000,4720
PAY-000005,EMP-0006,2025-05-31,51500,0,4900
PAY-000006,EMP-0007,2025-06-30,52800,1500,5080
PAY-000007,EMP-0008,2025-07-30,54100,3000,5260
PAY-000008,EMP-0009,2025-08-29,55400,4500,5440
PAY-000009,EMP-0010,2025-09-28,56700,6000,5620
PAY-000010,EMP-0011,2025-10-28,58000,0,5800
PAY-000011,EMP-0012,2025-11-27,59300,1500,5980
PAY-000012,EMP-0013,2025-12-27,60600,3000,6160
PAY-000013,EMP-0014,2026-01-26,61900,4500,6340
PAY-000014,EMP-0015,2026-02-25,63200,6000,6520
PAY-000015,EMP-0016,2026-03-27,64500,0,6700
PAY-000016,EMP-0017,2026-04-26,65800,1500,6880
PAY-000017,EMP-0018,2026-05-26,67100,3000,7060
PAY-000018,EMP-0019,2026-06-25,68400,4500,7240
PAY-000019,EMP-0020,2026-07-25,69700,6000,7420
PAY-000020,EMP-0021,2026-08-24,71000,0,7600
PAY-000021,EMP-0022,2026-09-23,72300,1500,7780
PAY-000022,EMP-0023,2026-10-23,73600,3000,7960
PAY-000023,EMP-0024,2026-11-22,74900,4500,8140
PAY-000024,EMP-0025,2025-01-21,76200,6000,8320
PAY-000025,EMP-0026,2025-02-20,77500,0,8500
PAY-000026,EMP-0027,2025-03-22,78800,1500,8680
PAY-000027,EMP-0028,2025-04-21,80100,3000,8860
PAY-000028,EMP-0029,2025-05-21,81400,4500,9040
PAY-000029,EMP-0030,2025-06-20,82700,6000,9220
PAY-000030,EMP-0031,2025-07-20,84000,0,9400
PAY-000031,EMP-0032,2025-08-19,85300,1500,9580
PAY-000032,EMP-0033,2025-09-18,86600,3000,9760
PAY-000033,EMP-0034,2025-10-18,87900,4500,9940
PAY-000034,EMP-0035,2025-11-17,89200,6000,10120
PAY-000035,EMP-0036,2025-12-17,90500,0,10300
PAY-000036,EMP-0037,2026-01-16,91800,1500,10480
PAY-000037,EMP-0038,2026-02-15,93100,3000,10660
PAY-000038,EMP-0039,2026-03-17,94400,4500,10840
PAY-000039,EMP-0040,2026-04-16,95700,6000,11020
PAY-000040,EMP-0041,2026-05-16,97000,0,11200
PAY-000041,EMP-0042,2026-06-15,98300,1500,11380
PAY-000042,EMP-0043,2026-07-15,99600,3000,11560
PAY-000043,EMP-0044,2026-08-14,100900,4500,11740
PAY-000044,EMP-0045,2026-09-13,102200,6000,11920
PAY-000045,EMP-0046,2026-10-13,103500,0,12100
PAY-000046,EMP-0047,2026-11-12,104800,1500,12280
PAY-000047,EMP-0048,2025-01-11,106100,3000,12460
PAY-000048,EMP-0049,2025-02-10,107400,4500,12640
PAY-000049,EMP-0050,2025-03-12,108700,6000,12820
PAY-000050,EMP-0051,2025-04-11,110000,0,13000
PAY-000051,EMP-0052,2025-05-11,111300,1500,13180
PAY-000052,EMP-0053,2025-06-10,112600,3000,13360
PAY-000053,EMP-0054,2025-07-10,113900,4500,13540
PAY-000054,EMP-0055,2025-08-09,115200,6000,13720
PAY-000055,EMP-0056,2025-09-08,116500,0,13900
PAY-000056,EMP-0057,2025-10-08,117800,1500,14080
PAY-000057,EMP-0058,2025-11-07,119100,3000,14260
PAY-000058,EMP-0059,2025-12-07,120400,4500,14440
PAY-000059,EMP-0060,2026-01-06,121700,6000,14620
PAY-000060,EMP-0001,2026-02-05,45000,0,4000
PAY-000061,EMP-0002,2026-03-07,46300,1500,4180
PAY-000062,EMP-0003,2026-04-06,47600,3000,4360
PAY-000063,EMP-0004,2026-05-06,48900,4500,4540
PAY-000064,EMP-0005,2026-06-05,50200,6000,4720
PAY-000065,EMP-0006,2026-07-05,51500,0,4900
PAY-000066,EMP-0007,2026-08-04,52800,1500,5080
PAY-000067,EMP-0008,2026-09-03,54100,3000,5260
PAY-000068,EMP-0009,2026-10-03,55400,4500,5440
PAY-000069,EMP-0010,2026-11-02,56700,6000,5620
PAY-000070,EMP-0011,2025-01-01,58000,0,5800
PAY-000071,EMP-0012,2025-01-31,59300,1500,5980
PAY-000072,EMP-0013,2025-03-02,60600,3000,6160
PAY-000073,EMP-0014,2025-04-01,61900,4500,6340
PAY-000074,EMP-0015,2025-05-01,63200,6000,6520
PAY-000075,EMP-0016,2025-05-31,64500,0,6700
PAY-000076,EMP-0017,2025-06-30,65800,1500,6880
PAY-000077,EMP-0018,2025-07-30,67100,3000,7060
PAY-000078,EMP-0019,2025-08-29,68400,4500,7240
PAY-000079,EMP-0020,2025-09-28,69700,6000,7420
PAY-000080,EMP-0021,2025-10-28,71000,0,7600
PAY-000081,EMP-0022,2025-11-27,72300,1500,7780
PAY-000082,EMP-0023,2025-12-27,73600,3000,7960
PAY-000083,EMP-0024,2026-01-26,74900,4500,8140
PAY-000084,EMP-0025,2026-02-25,76200,6000,8320
PAY-000085,EMP-0026,2026-03-27,77500,0,8500
PAY-000086,EMP-0027,2026-04-26,78800,1500,8680
PAY-000087,EMP-0028,2026-05-26,80100,3000,8860
PAY-000088,EMP-0029,2026-06-25,81400,4500,9040
PAY-000089,EMP-0030,2026-07-25,82700,6000,9220
PAY-000090,EMP-0031,2026-08-24,84000,0,9400
PAY-000091,EMP-0032,2026-09-23,85300,1500,9580
PAY-000092,EMP-0033,2026-10-23,86600,3000,9760
PAY-000093,EMP-0034,2026-11-22,87900,4500,9940
