claim_party_id,claim_id,party_id,party_role
CP-0001,CLM-000002,PTY-002,Witness
CP-0002,CLM-000003,PTY-003,Repairer
CP-0003,CLM-000004,PTY-004,Driver
CP-0004,CLM-000005,PTY-005,Witness
CP-0005,CLM-000006,PTY-006,Repairer
CP-0006,CLM-000007,PTY-007,Driver
CP-0007,CLM-000008,PTY-008,Witness
CP-0008,CLM-000009,PTY-009,Repairer
CP-0009,CLM-000010,PTY-010,Driver
CP-0010,CLM-000011,PTY-011,Witness
CP-0011,CLM-000012,PTY-012,Repairer
CP-0012,CLM-000013,PTY-013,Driver
CP-0013,CLM-000014,PTY-014,Witness
CP-0014,CLM-000015,PTY-015,Repairer
CP-0015,CLM-000016,PTY-016,Driver
CP-0016,CLM-000017,PTY-017,Witness
CP-0017,CLM-000018,PTY-018,Repairer
CP-0018,CLM-000019,PTY-019,Driver
CP-0019,CLM-000020,PTY-020,Witness
CP-0020,CLM-000021,PTY-021,Repairer
CP-0021,CLM-000022,PTY-022,Driver
CP-0022,CLM-000023,PTY-023,Witness
CP-0023,CLM-000024,PTY-024,Repairer
CP-0024,CLM-000025,PTY-025,Driver
CP-0025,CLM-000026,PTY-026,Witness
CP-0026,CLM-000027,PTY-027,Repairer
CP-0027,CLM-000028,PTY-028,Driver
CP-0028,CLM-000029,PTY-029,Witness
CP-0029,CLM-000030,PTY-030,Repairer
CP-0030,CLM-000031,PTY-001,Driver
CP-0031,CLM-000032,PTY-002,Witness
CP-0032,CLM-000033,PTY-003,Repairer
CP-0033,CLM-000034,PTY-004,Driver
CP-0034,CLM-000035,PTY-005,Witness
CP-0035,CLM-000036,PTY-006,Repairer
CP-0036,CLM-000037,PTY-007,Driver
CP-0037,CLM-000038,PTY-008,Witness
CP-0038,CLM-000039,PTY-009,Repairer
CP-0039,CLM-000040,PTY-010,Driver
CP-0040,CLM-000041,PTY-011,Witness
CP-0041,CLM-000042,PTY-012,Repairer
CP-0042,CLM-000043,PTY-013,Driver
CP-0043,CLM-000044,PTY-014,Witness
CP-0044,CLM-000045,PTY-015,Repairer
CP-0045,CLM-000046,PTY-016,Driver
CP-0046,CLM-000047,PTY-017,Witness
CP-0047,CLM-000048,PTY-018,Repairer
CP-0048,CLM-000049,PTY-019,Driver
CP-0049,CLM-000050,PTY-020,Witness
CP-0050,CLM-000051,PTY-021,Repairer
CP-0051,CLM-000052,PTY-022,Driver
CP-0052,CLM-000053,PTY-023,Witness
CP-0053,CLM-000054,PTY-024,Repairer
CP-0054,CLM-000055,PTY-025,Driver
CP-0055,CLM-000056,PTY-026,Witness
CP-0056,CLM-000057,PTY-027,Repairer
CP-0057,CLM-000058,PTY-028,Driver
CP-0058,CLM-000059,PTY-029,Witness
CP-0059,CLM-000060,PTY-030,Repairer
CP-0060,CLM-000061,PTY-001,Driver
CP-0061,CLM-000062,PTY-002,Witness
CP-0062,CLM-000063,PTY-003,Repairer
CP-0063,CLM-000064,PTY-004,Driver
CP-0064,CLM-000065,PTY-005,Witness
CP-0065,CLM-000066,PTY-006,Repairer
CP-0066,CLM-000067,PTY-007,Driver
CP-0067,CLM-000068,PTY-008,Witness
CP-0068,CLM-000069,PTY-009,Repairer
CP-0069,CLM-000070,PTY-010,Driver
CP-0070,CLM-000071,PTY-011,Witness
CP-0071,CLM-000072,PTY-012,Repairer
CP-0072,CLM-000073,PTY-013,Driver
CP-0073,CLM-000074,PTY-014,Witness
CP-0074,CLM-000075,PTY-015,Repairer
CP-0075,CLM-000076,PTY-016,Driver
CP-0076,CLM-000077,PTY-017,Witness
CP-0077,CLM-000078,PTY-018,Repairer
CP-0078,CLM-000079,PTY-019,Driver
CP-0079,CLM-000080,PTY-020,Witness
CP-0080,CLM-000081,PTY-021,Repairer
CP-0081,CLM-000082,PTY-022,Driver
CP-0082,CLM-000083,PTY-023,Witness
CP-0083,CLM-000084,PTY-024,Repairer
CP-0084,CLM-000085,PTY-025,Driver
CP-0085,CLM-000086,PTY-026,Witness
CP-0086,CLM-000087,PTY-027,Repairer
CP-0087,CLM-000088,PTY-028,Driver
CP-0088,CLM-000089,PTY-029,Witness
CP-0089,CLM-000090,PTY-030,Repairer
CP-0090,CLM-000091,PTY-001,Driver
CP-0091,CLM-000092,PTY-002,Witness
CP-0092,CLM-000093,PTY-003,Repairer
CP-0093,CLM-000094,PTY-004,Driver
CP-0094,CLM-000095,PTY-005,Witness
CP-0095,CLM-000096,PTY-006,Repairer
CP-0096,CLM-000097,PTY-007,Driver
CP-0097,CLM-000098,PTY-008,Witness
CP-0098,CLM-000099,PTY-009,Repairer
CP-0099,CLM-000100,PTY-010,Driver
CP-0100,CLM-000101,PTY-011,Witness
CP-0101,CLM-000102,PTY-012,Repairer
CP-0102,CLM-000103,PTY-013,Driver
CP-0103,CLM-000104,PTY-014,Witness
CP-0104,CLM-000105,PTY-015,Repairer
CP-0105,CLM-000106,PTY-016,Driver
CP-0106,CLM-000107,PTY-017,Witness
CP-0107,CLM-000108,PTY-018,Repairer
CP-0108,CLM-000109,PTY-019,Driver
CP-0109,CLM-000110,PTY-020,Witness
CP-0110,CLM-000111,PTY-021,Repairer
CP-0111,CLM-000112,PTY-022,Driver
CP-0112,CLM-000113,PTY-023,Witness
CP-0113,CLM-000114,PTY-024,Repairer
CP-0114,CLM-000115,PTY-025,Driver
CP-0115,CLM-000116,PTY-026,Witness
CP-0116,CLM-000117,PTY-027,Repairer
CP-0117,CLM-000118,PTY-028,Driver
CP-0118,CLM-000119,PTY-029,Witness
CP-0119,CLM-000120,PTY-030,Repairer
CP-0120,CLM-000001,PTY-001,Driver
CP-0121,CLM-000002,PTY-002,Witness
CP-0122,CLM-000003,PTY-003,Repairer
CP-0123,CLM-000004,PTY-004,Driver
CP-0124,CLM-000005,PTY-005,Witness
CP-0125,CLM-000006,PTY-006,Repairer
CP-0126,CLM-000007,PTY-007,Driver
CP-0127,CLM-000008,PTY-008,Witness
CP-0128,CLM-000009,PTY-009,Repairer
CP-0129,CLM-000010,PTY-010,Driver
CP-0130,CLM-000011,PTY-011,Witness
CP-0131,CLM-000012,PTY-012,Repairer
CP-0132,CLM-000013,PTY-013,Driver
CP-0133,CLM-000014,PTY-014,Witness
CP-0134,CLM-000015,PTY-015,Repairer
CP-0135,CLM-000016,PTY-016,Driver
CP-0136,CLM-000017,PTY-017,Witness
CP-0137,CLM-000018,PTY-018,Repairer
CP-0138,CLM-000019,PTY-019,Driver
CP-0139,CLM-000020,PTY-020,Witness
CP-0140,CLM-000021,PTY-021,Repairer
CP-0141,CLM-000022,PTY-022,Driver
CP-0142,CLM-000023,PTY-023,Witness
CP-0143,CLM-000024,PTY-024,Repairer
CP-0144,CLM-000025,PTY-025,Driver
CP-0145,CLM-000026,PTY-026,Witness
CP-0146,CLM-000027,PTY-027,Repairer
CP-0147,CLM-000028,PTY-028,Driver
CP-0148,CLM-000029,PTY-029,Witness
CP-0149,CLM-000030,PTY-030,Repairer
CP-0150,CLM-000031,PTY-001,Driver
