claim_id,policy_id,claim_date,claim_type,claim_amount,approved_amount,claim_status
CLM-000001,POL-00002,2025-01-02,Theft,1188.9,1051.7,Pending
CLM-000002,POL-00003,2025-01-03,Damage,1377.8,1203.4,Rejected
CLM-000003,POL-00004,2025-01-04,Accident,1566.7,1355.1,Approved
CLM-000004,POL-00005,2025-01-05,Theft,1755.6,1506.8,Pending
CLM-000005,POL-00006,2025-01-06,Damage,1944.5,1658.5,Rejected
CLM-000006,POL-00007,2025-01-07,Accident,2133.4,1810.2,Approved
CLM-000007,POL-00008,2025-01-08,Theft,2322.3,1961.9,Pending
CLM-000008,POL-00009,2025-01-09,Damage,2511.2,2113.6,Rejected
CLM-000009,POL-00010,2025-01-10,Accident,2700.1,2265.3,Approved
CLM-000010,POL-00011,2025-01-11,Theft,2889.0,2417.0,Pending
CLM-000011,POL-00012,2025-01-12,Damage,3077.9,2568.7,Rejected
CLM-000012,POL-00013,2025-01-13,Accident,3266.8,2720.4,Approved
CLM-000013,POL-00014,2025-01-14,Theft,3455.7,2872.1,Pending
CLM-000014,POL-00015,2025-01-15,Damage,3644.6,3023.8,Rejected
CLM-000015,POL-00016,2025-01-16,Accident,3833.5,3175.5,Approved
CLM-000016,POL-00017,2025-01-17,Theft,4022.4,3327.2,Pending
CLM-000017,POL-00018,2025-01-18,Damage,4211.3,3478.9,Rejected
CLM-000018,POL-00019,2025-01-19,Accident,4400.2,3630.6,Approved
CLM-000019,POL-00020,2025-01-20,Theft,4589.1,3782.3,Pending
CLM-000020,POL-00021,2025-01-21,Damage,4778.0,3934.0,Rejected
CLM-000021,POL-00022,2025-01-22,Accident,4966.9,4085.7,Approved
CLM-000022,POL-00023,2025-01-23,Theft,5155.8,4237.4,Pending
CLM-000023,POL-00024,2025-01-24,Damage,5344.7,4389.1,Rejected
CLM-000024,POL-00025,2025-01-25,Accident,5533.6,4540.8,Approved
CLM-000025,POL-00026,2025-01-26,Theft,5722.5,4692.5,Pending
CLM-000026,POL-00027,2025-01-27,Damage,5911.4,4844.2,Rejected
CLM-000027,POL-00028,2025-01-28,Accident,6100.3,4995.9,Approved
CLM-000028,POL-00029,2025-01-29,Theft,6289.2,5147.6,Pending
CLM-000029,POL-00030,2025-01-30,Damage,6478.1,5299.3,Rejected
CLM-000030,POL-00031,2025-01-31,Accident,6667.0,5451.0,Approved
CLM-000031,POL-00032,2025-02-01,Theft,6855.9,5602.7,Pending
CLM-000032,POL-00033,2025-02-02,Damage,7044.8,5754.4,Rejected
CLM-000033,POL-00034,2025-02-03,Accident,7233.7,5906.1,Approved
CLM-000034,POL-00035,2025-02-04,Theft,7422.6,6057.8,Pending
CLM-000035,POL-00036,2025-02-05,Damage,7611.5,6209.5,Rejected
CLM-000036,POL-00037,2025-02-06,Accident,7800.4,6361.2,Approved
CLM-000037,POL-00038,2025-02-07,Theft,7989.3,6512.9,Pending
CLM-000038,POL-00039,2025-02-08,Damage,8178.2,6664.6,Rejected
CLM-000039,POL-00040,2025-02-09,Accident,8367.1,6816.3,Approved
CLM-000040,POL-00041,2025-02-10,Theft,8556.0,6968.0,Pending
CLM-000041,POL-00042,2025-02-11,Damage,8744.9,7119.7,Rejected
CLM-000042,POL-00043,2025-02-12,Accident,8933.8,7271.4,Approved
CLM-000043,POL-00044,2025-02-13,Theft,9122.7,7423.1,Pending
CLM-000044,POL-00045,2025-02-14,Damage,9311.6,7574.8,Rejected
CLM-000045,POL-00046,2025-02-15,Accident,9500.5,7726.5,Approved
CLM-000046,POL-00047,2025-02-16,Theft,9689.4,7878.2,Pending
CLM-000047,POL-00048,2025-02-17,Damage,9878.3,8029.9,Rejected
CLM-000048,POL-00049,2025-02-18,Accident,10067.2,8181.6,Approved
CLM-000049,POL-00050,2025-02-19,Theft,10256.1,8333.3,Pending
CLM-000050,POL-00051,2025-02-20,Damage,10445.0,8485.0,Rejected
CLM-000051,POL-00052,2025-02-21,Accident,10633.9,8636.7,Approved
CLM-000052,POL-00053,2025-02-22,Theft,10822.8,8788.4,Pending
CLM-000053,POL-00054,2025-02-23,Damage,11011.7,8940.1,Rejected
CLM-000054,POL-00055,2025-02-24,Accident,11200.6,9091.8,Approved
CLM-000055,POL-00056,2025-02-25,Theft,11389.5,9243.5,Pending
CLM-000056,POL-00057,2025-02-26,Damage,11578.4,9395.2,Rejected
CLM-000057,POL-00058,2025-02-27,Accident,11767.3,9546.9,Approved
CLM-000058,POL-00059,2025-02-28,Theft,11956.2,9698.6,Pending
CLM-000059,POL-00060,2025-03-01,Damage,12145.1,9850.3,Rejected
CLM-000060,POL-00061,2025-03-02,Accident,12334.0,10002.0,Approved
CLM-000061,POL-00062,2025-03-03,Theft,12522.9,10153.7,Pending
CLM-000062,POL-00063,2025-03-04,Damage,12711.8,10305.4,Rejected
CLM-000063,POL-00064,2025-03-05,Accident,12900.7,10457.1,Approved
CLM-000064,POL-00065,2025-03-06,Theft,13089.6,10608.8,Pending
CLM-000065,POL-00066,2025-03-07,Damage,13278.5,10760.5,Rejected
CLM-000066,POL-00067,2025-03-08,Accident,13467.4,10912.2,Approved
CLM-000067,POL-00068,2025-03-09,Theft,13656.3,11063.9,Pending
CLM-000068,POL-00069,2025-03-10,Damage,13845.2,11215.6,Rejected
CLM-000069,POL-00070,2025-03-11,Accident,14034.1,11367.3,Approved
CLM-000070,POL-00001,2025-03-12,Theft,14223.0,11519.0,Pending
CLM-000071,POL-00002,2025-03-13,Damage,14411.9,11670.7,Rejected
