policy_id,customer_id,agent_id,vehicle_id,policy_start_date,policy_end_date,premium_amount,policy_status
POL-00001,CUS-0002,AGT-002,VEH-0002,2025-01-02,2026-01-02,3611.2,Active
POL-00002,CUS-0003,AGT-003,VEH-0003,2025-01-03,2026-01-03,3722.4,Active
POL-00003,CUS-0004,AGT-004,VEH-0004,2025-01-04,2026-01-04,3833.6,Active
POL-00004,CUS-0005,AGT-005,VEH-0005,2025-01-05,2026-01-05,3944.8,Active
POL-00005,CUS-0006,AGT-006,VEH-0006,2025-01-06,2026-01-06,4056.0,Active
POL-00006,CUS-0007,AGT-007,VEH-0007,2025-01-07,2026-01-07,4167.2,Active
POL-00007,CUS-0008,AGT-008,VEH-0008,2025-01-08,2026-01-08,4278.4,Active
POL-00008,CUS-0009,AGT-001,VEH-0009,2025-01-09,2026-01-09,4389.6,Lapsed
POL-00009,CUS-0010,AGT-002,VEH-0010,2025-01-10,2026-01-10,4500.8,Active
POL-00010,CUS-0011,AGT-003,VEH-0011,2025-01-11,2026-01-11,4612.0,Active
POL-00011,CUS-0012,AGT-004,VEH-0012,2025-01-12,2026-01-12,4723.2,Active
POL-00012,CUS-0013,AGT-005,VEH-0013,2025-01-13,2026-01-13,4834.4,Active
POL-00013,CUS-0014,AGT-006,VEH-0014,2025-01-14,2026-01-14,4945.6,Active
POL-00014,CUS-0015,AGT-007,VEH-0015,2025-01-15,2026-01-15,5056.8,Active
POL-00015,CUS-0016,AGT-008,VEH-0016,2025-01-16,2026-01-16,5168.0,Active
POL-00016,CUS-0017,AGT-001,VEH-0017,2025-01-17,2026-01-17,5279.2,Lapsed
POL-00017,CUS-0018,AGT-002,VEH-0018,2025-01-18,2026-01-18,5390.4,Active
POL-00018,CUS-0019,AGT-003,VEH-0019,2025-01-19,2026-01-19,5501.6,Active
POL-00019,CUS-0020,AGT-004,VEH-0020,2025-01-20,2026-01-20,5612.8,Active
POL-00020,CUS-0021,AGT-005,VEH-0021,2025-01-21,2026-01-21,5724.0,Active
POL-00021,CUS-0022,AGT-006,VEH-0022,2025-01-22,2026-01-22,5835.2,Active
POL-00022,CUS-0023,AGT-007,VEH-0023,2025-01-23,2026-01-23,5946.4,Active
POL-00023,CUS-0024,AGT-008,VEH-0024,2025-01-24,2026-01-24,6057.6,Active
POL-00024,CUS-0025,AGT-001,VEH-0025,2025-01-25,2026-01-25,6168.8,Lapsed
