vehicle_id,customer_id,registration_number,vehicle_type,model_year
VEH-0001,CUS-0002,MH11AB0001,Bike,2015
VEH-0002,CUS-0003,MH12AB0002,Truck,2016
VEH-0003,CUS-0004,MH13AB0003,Car,2017
VEH-0004,CUS-0005,MH14AB0004,Bike,2018
VEH-0005,CUS-0006,MH15AB0005,Truck,2019
VEH-0006,CUS-0007,MH16AB0006,Car,2020
VEH-0007,CUS-0008,MH17AB0007,Bike,2021
VEH-0008,CUS-0009,MH18AB0008,Truck,2022
VEH-0009,CUS-0010,MH19AB0009,Car,2023
VEH-0010,CUS-0011,MH20AB0010,Bike,2024
VEH-0011,CUS-0012,MH21AB0011,Truck,2014
VEH-0012,CUS-0013,MH22AB0012,Car,2015
VEH-0013,CUS-0014,MH23AB0013,Bike,2016
VEH-0014,CUS-0015,MH24AB0014,Truck,2017
VEH-0015,CUS-0016,MH25AB0015,Car,2018
VEH-0016,CUS-0017,MH26AB0016,Bike,2019
VEH-0017,CUS-0018,MH27AB0017,Truck,2020
VEH-0018,CUS-0019,MH28AB0018,Car,2021
VEH-0019,CUS-0020,MH29AB0019,Bike,2022
VEH-0020,CUS-0021,MH10AB0020,Truck,2023
VEH-0021,CUS-0022,MH11AB0021,Car,2024
VEH-0022,CUS-0023,MH12AB0022,Bike,2014
VEH-0023,CUS-0024,MH13AB0023,Truck,2015
VEH-0024,CUS-0025,MH14AB0024,Car,2016
VEH-0025,CUS-0026,MH15AB0025,Bike,2017
VEH-0026,CUS-0027,MH16AB0026,Truck,2018
VEH-0027,CUS-0028,MH17AB0027,Car,2019
VEH-0028,CUS-0029,MH18AB0028,Bike,2020
VEH-0029,CUS-0030,MH19AB0029,Truck,2021
VEH-0030,CUS-0031,MH20AB0030,Car,2022
VEH-0031,CUS-0032,MH21AB0031,Bike,2023
VEH-0032,CUS-0033,MH22AB0032,Truck,2024
VEH-0033,CUS-0034,MH23AB0033,Car,2014
VEH-0034,CUS-0035,MH24AB0034,Bike,2015
VEH-0035,CUS-0036,MH25AB0035,Truck,2016
VEH-0036,CUS-0037,MH26AB0036,Car,2017
VEH-0037,CUS-0038,MH27AB0037,Bike,2018
VEH-0038,CUS-0039,MH28AB0038,Truck,2019
VEH-0039,CUS-0040,MH29AB0039,Car,2020
VEH-0040,CUS-0001,MH10AB0040,Bike,2021
VEH-0041,CUS-0002,MH11AB0041,Truck,2022
VEH-0042,CUS-0003,MH12AB0042,Car,2023
VEH-0043,CUS-0004,MH13AB0043,Bike,2024
VEH-0044,CUS-0005,MH14AB0044,Truck,2014
VEH-0045,CUS-0006,MH15AB0045,Car,2015
VEH-0046,CUS-0007,MH16AB0046,Bike,2016
VEH-0047,CUS-0008,MH17AB0047,Truck,2017
VEH-0048,CUS-0009,MH18AB0048,Car,2018
VEH-0049,CUS-0010,MH19AB0049,Bike,2019
VEH-0050,CUS-0011,MH20AB0050,Truck,2020
