defect_id,production_run_id,defect_type,defect_quantity,defect_cost
DEF-00001,RUN-00002,Alignment,2,28.5
DEF-00002,RUN-00003,Electrical,3,37.0
DEF-00003,RUN-00004,Scratch,4,45.5
DEF-00004,RUN-00005,Alignment,5,54.0
DEF-00005,RUN-00006,Electrical,6,62.5
DEF-00006,RUN-00007,Scratch,7,71.0
DEF-00007,RUN-00008,Alignment,8,79.5
DEF-00008,RUN-00009,Electrical,9,88.0
DEF-00009,RUN-00010,Scratch,10,96.5
DEF-00010,RUN-00011,Alignment,11,105.0
DEF-00011,RUN-00012,Electrical,12,113.5
DEF-00012,RUN-00013,Scratch,1,122.0
DEF-00013,RUN-00014,Alignment,2,130.5
DEF-00014,RUN-00015,Electrical,3,139.0
DEF-00015,RUN-00016,Scratch,4,147.5
DEF-00016,RUN-00017,Alignment,5,156.0
DEF-00017,RUN-00018,Electrical,6,164.5
DEF-00018,RUN-00019,Scratch,7,173.0
DEF-00019,RUN-00020,Alignment,8,181.5
DEF-00020,RUN-00021,Electrical,9,190.0
DEF-00021,RUN-00022,Scratch,10,198.5
DEF-00022,RUN-00023,Alignment,11,207.0
DEF-00023,RUN-00024,Electrical,12,215.5
DEF-00024,RUN-00025,Scratch,1,224.0
DEF-00025,RUN-00026,Alignment,2,232.5
DEF-00026,RUN-00027,Electrical,3,241.0
DEF-00027,RUN-00028,Scratch,4,249.5
DEF-00028,RUN-00029,Alignment,5,258.0
DEF-00029,RUN-00030,Electrical,6,266.5
DEF-00030,RUN-00031,Scratch,7,275.0
DEF-00031,RUN-00032,Alignment,8,283.5
DEF-00032,RUN-00033,Electrical,9,292.0
DEF-00033,RUN-00034,Scratch,10,300.5
DEF-00034,RUN-00035,Alignment,11,309.0
DEF-00035,RUN-00036,Electrical,12,317.5
DEF-00036,RUN-00037,Scratch,1,326.0
DEF-00037,RUN-00038,Alignment,2,334.5
DEF-00038,RUN-00039,Electrical,3,343.0
DEF-00039,RUN-00040,Scratch,4,351.5
DEF-00040,RUN-00041,Alignment,5,360.0
DEF-00041,RUN-00042,Electrical,6,368.5
DEF-00042,RUN-00043,Scratch,7,377.0
DEF-00043,RUN-00044,Alignment,8,385.5
DEF-00044,RUN-00045,Electrical,9,394.0
DEF-00045,RUN-00046,Scratch,10,402.5
DEF-00046,RUN-00047,Alignment,11,411.0
DEF-00047,RUN-00048,Electrical,12,419.5
DEF-00048,RUN-00049,Scratch,1,428.0
DEF-00049,RUN-00050,Alignment,2,436.5
DEF-00050,RUN-00051,Electrical,3,445.0
DEF-00051,RUN-00052,Scratch,4,453.5
DEF-00052,RUN-00053,Alignment,5,462.0
DEF-00053,RUN-00054,Electrical,6,470.5
DEF-00054,RUN-00055,Scratch,7,479.0
DEF-00055,RUN-00056,Alignment,8,487.5
DEF-00056,RUN-00057,Electrical,9,496.0
DEF-00057,RUN-00058,Scratch,10,504.5
DEF-00058,RUN-00059,Alignment,11,513.0
DEF-00059,RUN-00060,Electrical,12,521.5
DEF-00060,RUN-00061,Scratch,1,530.0
DEF-00061,RUN-00062,Alignment,2,538.5
DEF-00062,RUN-00063,Electrical,3,547.0
DEF-00063,RUN-00064,Scratch,4,555.5
DEF-00064,RUN-00065,Alignment,5,564.0
DEF-00065,RUN-00066,Electrical,6,572.5
DEF-00066,RUN-00067,Scratch,7,581.0
DEF-00067,RUN-00068,Alignment,8,589.5
DEF-00068,RUN-00069,Electrical,9,598.0
DEF-00069,RUN-00070,Scratch,10,606.5
DEF-00070,RUN-00071,Alignment,11,615.0
DEF-00071,RUN-00072,Electrical,12,623.5
DEF-00072,RUN-00073,Scratch,1,632.0
DEF-00073,RUN-00074,Alignment,2,640.5
DEF-00074,RUN-00075,Electrical,3,649.0
DEF-00075,RUN-00076,Scratch,4,657.5
DEF-00076,RUN-00077,Alignment,5,666.0
DEF-00077,RUN-00078,Electrical,6,674.5
DEF-00078,RUN-00079,Scratch,7,683.0
DEF-00079,RUN-00080,Alignment,8,691.5
DEF-00080,RUN-00081,Electrical,9,700.0
DEF-00081,RUN-00082,Scratch,10,708.5
DEF-00082,RUN-00083,Alignment,11,717.0
DEF-00083,RUN-00084,Electrical,12,725.5
DEF-00084,RUN-00085,Scratch,1,734.0
DEF-00085,RUN-00086,Alignment,2,742.5
DEF-00086,RUN-00087,Electrical,3,751.0
DEF-00087,RUN-00088,Scratch,4,759.5
DEF-00088,RUN-00089,Alignment,5,768.0
DEF-00089,RUN-00090,Electrical,6,776.5
DEF-00090,RUN-00091,Scratch,7,785.0
DEF-00091,RUN-00092,Alignment,8,793.5
DEF-00092,RUN-00093,Electrical,9,802.0
DEF-00093,RUN-00094,Scratch,10,810.5
DEF-00094,RUN-00095,Alignment,11,819.0
DEF-00095,RUN-00096,Electrical,12,827.5
DEF-00096,RUN-00097,Scratch,1,836.0
DEF-00097,RUN-00098,Alignment,2,844.5
DEF-00098,RUN-00099,Electrical,3,853.0
DEF-00099,RUN-00100,Scratch,4,861.5
DEF-00100,RUN-00101,Alignment,5,870.0
DEF-00101,RUN-00102,Electrical,6,878.5
DEF-00102,RUN-00103,Scratch,7,887.0
DEF-00103,RUN-00104,Alignment,8,895.5
DEF-00104,RUN-00105,Electrical,9,904.0
DEF-00105,RUN-00106,Scratch,10,912.5
DEF-00106,RUN-00107,Alignment,11,921.0
DEF-00107,RUN-00108,Electrical,12,929.5
DEF-00108,RUN-00109,Scratch,1,938.0
DEF-00109,RUN-00110,Alignment,2,946.5
DEF-00110,RUN-00111,Electrical,3,955.0
DEF-00111,RUN-00112,Scratch,4,963.5
DEF-00112,RUN-00113,Alignment,5,972.0
DEF-00113,RUN-00114,Electrical,6,980.5
DEF-00114,RUN-00115,Scratch,7,989.0
DEF-00115,RUN-00116,Alignment,8,997.5
DEF-00116,RUN-00117,Electrical,9,1006.0
DEF-00117,RUN-00118,Scratch,10,1014.5
DEF-00118,RUN-00119,Alignment,11,1023.0
DEF-00119,RUN-00120,Electrical,12,1031.5
DEF-00120,RUN-00121,Scratch,1,1040.0
