maintenance_id,machine_id,maintenance_date,maintenance_type,maintenance_cost,downtime_hours
MNT-0001,MAC-0002,2025-01-02,Corrective,533.1,0.5
MNT-0002,MAC-0003,2025-01-03,Preventive,566.2,1.0
MNT-0003,MAC-0004,2025-01-04,Corrective,599.3,1.5
MNT-0004,MAC-0005,2025-01-05,Preventive,632.4,2.0
MNT-0005,MAC-0006,2025-01-06,Corrective,665.5,2.5
MNT-0006,MAC-0007,2025-01-07,Preventive,698.6,3.0
MNT-0007,MAC-0008,2025-01-08,Corrective,731.7,3.5
MNT-0008,MAC-0009,2025-01-09,Preventive,764.8,4.0
MNT-0009,MAC-0010,2025-01-10,Corrective,797.9,4.5
MNT-0010,MAC-0011,2025-01-11,Preventive,831.0,5.0
MNT-0011,MAC-0012,2025-01-12,Corrective,864.1,5.5
MNT-0012,MAC-0013,2025-01-13,Preventive,897.2,6.0
MNT-0013,MAC-0014,2025-01-14,Corrective,930.3,6.5
MNT-0014,MAC-0015,2025-01-15,Preventive,963.4,7.0
MNT-0015,MAC-0016,2025-01-16,Corrective,996.5,0.0
MNT-0016,MAC-0017,2025-01-17,Preventive,1029.6,0.5
MNT-0017,MAC-0018,2025-01-18,Corrective,1062.7,1.0
MNT-0018,MAC-0019,2025-01-19,Preventive,1095.8,1.5
MNT-0019,MAC-0020,2025-01-20,Corrective,1128.9,2.0
MNT-0020,MAC-0001,2025-01-21,Preventive,1162.0,2.5
MNT-0021,MAC-0002,2025-01-22,Corrective,1195.1,3.0
MNT-0022,MAC-0003,2025-01-23,Preventive,1228.2,3.5
MNT-0023,MAC-0004,2025-01-24,Corrective,1261.3,4.0
MNT-0024,MAC-0005,2025-01-25,Preventive,1294.4,4.5
MNT-0025,MAC-0006,2025-01-26,Corrective,1327.5,5.0
MNT-0026,MAC-0007,2025-01-27,Preventive,1360.6,5.5
MNT-0027,MAC-0008,2025-01-28,Corrective,1393.7,6.0
MNT-0028,MAC-0009,2025-01-29,Preventive,1426.8,6.5
MNT-0029,MAC-0010,2025-01-30,Corrective,1459.9,7.0
MNT-0030,MAC-0011,2025-01-31,Preventive,1493.0,0.0
MNT-0031,MAC-0012,2025-02-01,Corrective,1526.1,0.5
MNT-0032,MAC-0013,2025-02-02,Preventive,1559.2,1.0
MNT-0033,MAC-0014,2025-02-03,Corrective,1592.3,1.5
MNT-0034,MAC-0015,2025-02-04,Preventive,1625.4,2.0
MNT-0035,MAC-0016,2025-02-05,Corrective,1658.5,2.5
MNT-0036,MAC-0017,2025-02-06,Preventive,1691.6,3.0
MNT-0037,MAC-0018,2025-02-07,Corrective,1724.7,3.5
MNT-0038,MAC-0019,2025-02-08,Preventive,1757.8,4.0
MNT-0039,MAC-0020,2025-02-09,Corrective,1790.9,4.5
MNT-0040,MAC-0001,2025-02-10,Preventive,1824.0,5.0
MNT-0041,MAC-0002,2025-02-11,Corrective,1857.1,5.5
MNT-0042,MAC-0003,2025-02-12,Preventive,1890.2,6.0
MNT-0043,MAC-0004,2025-02-13,Corrective,1923.3,6.5
MNT-0044,MAC-0005,2025-02-14,Preventive,1956.4,7.0
MNT-0045,MAC-0006,2025-02-15,Corrective,1989.5,0.0
MNT-0046,MAC-0007,2025-02-16,Preventive,2022.6,0.5
MNT-0047,MAC-0008,2025-02-17,Corrective,2055.7,1.0
MNT-0048,MAC-0009,2025-02-18,Preventive,2088.8,1.5
MNT-0049,MAC-0010,2025-02-19,Corrective,2121.9,2.0
MNT-0050,MAC-0011,2025-02-20,Preventive,2155.0,2.5
MNT-0051,MAC-0012,2025-02-21,Corrective,2188.1,3.0
MNT-0052,MAC-0013,2025-02-22,Preventive,2221.2,3.5
MNT-0053,MAC-0014,2025-02-23,Corrective,2254.3,4.0
MNT-0054,MAC-0015,2025-02-24,Preventive,2287.4,4.5
MNT-0055,MAC-0016,2025-02-25,Corrective,2320.5,5.0
MNT-0056,MAC-0017,2025-02-26,Preventive,2353.6,5.5
MNT-0057,MAC-0018,2025-02-27,Corrective,2386.7,6.0
MNT-0058,MAC-0019,2025-02-28,Preventive,2419.8,6.5
MNT-0059,MAC-0020,2025-03-01,Corrective,2452.9,7.0
MNT-0060,MAC-0001,2025-03-02,Preventive,2486.0,0.0
MNT-0061,MAC-0002,2025-03-03,Corrective,2519.1,0.5
MNT-0062,MAC-0003,2025-03-04,Preventive,2552.2,1.0
MNT-0063,MAC-0004,2025-03-05,Corrective,2585.3,1.5
MNT-0064,MAC-0005,2025-03-06,Preventive,2618.4,2.0
MNT-0065,MAC-0006,2025-03-07,Corrective,2651.5,2.5
MNT-0066,MAC-0007,2025-03-08,Preventive,2684.6,3.0
MNT-0067,MAC-0008,2025-03-09,Corrective,2717.7,3.5
MNT-0068,MAC-0009,2025-03-10,Preventive,2750.8,4.0
MNT-0069,MAC-0010,2025-03-11,Corrective,2783.9,4.5
MNT-0070,MAC-0011,2025-03-12,Preventive,2817.0,5.0
