production_run_id,plant_id,machine_id,product_id,run_date,units_planned,units_produced,production_minutes,downtime_minutes
RUN-00001,PLT-002,MAC-0002,PRD-0002,2025-01-02,401,371,201,1
RUN-00002,PLT-003,MAC-0003,PRD-0003,2025-01-03,402,372,202,2
RUN-00003,PLT-004,MAC-0004,PRD-0004,2025-01-04,403,373,203,3
RUN-00004,PLT-005,MAC-0005,PRD-0005,2025-01-05,404,374,204,4
RUN-00005,PLT-001,MAC-0006,PRD-0006,2025-01-06,405,375,205,5
RUN-00006,PLT-002,MAC-0007,PRD-0007,2025-01-07,406,376,206,6
RUN-00007,PLT-003,MAC-0008,PRD-0008,2025-01-08,407,377,207,7
RUN-00008,PLT-004,MAC-0009,PRD-0009,2025-01-09,408,378,208,8
RUN-00009,PLT-005,MAC-0010,PRD-0010,2025-01-10,409,379,209,9
RUN-00010,PLT-001,MAC-0011,PRD-0011,2025-01-11,410,380,210,10
RUN-00011,PLT-002,MAC-0012,PRD-0012,2025-01-12,411,381,211,11
RUN-00012,PLT-003,MAC-0013,PRD-0013,2025-01-13,412,382,212,12
RUN-00013,PLT-004,MAC-0014,PRD-0014,2025-01-14,413,383,213,13
RUN-00014,PLT-005,MAC-0015,PRD-0015,2025-01-15,414,384,214,14
RUN-00015,PLT-001,MAC-0016,PRD-0001,2025-01-16,415,385,215,15
RUN-00016,PLT-002,MAC-0017,PRD-0002,2025-01-17,416,386,216,16
RUN-00017,PLT-003,MAC-0018,PRD-0003,2025-01-18,417,387,217,17
RUN-00018,PLT-004,MAC-0019,PRD-0004,2025-01-19,418,388,218,18
RUN-00019,PLT-005,MAC-0020,PRD-0005,2025-01-20,419,389,219,19
RUN-00020,PLT-001,MAC-0001,PRD-0006,2025-01-21,420,390,220,20
RUN-00021,PLT-002,MAC-0002,PRD-0007,2025-01-22,421,391,221,21
RUN-00022,PLT-003,MAC-0003,PRD-0008,2025-01-23,422,392,222,22
RUN-00023,PLT-004,MAC-0004,PRD-0009,2025-01-24,423,393,223,23
RUN-00024,PLT-005,MAC-0005,PRD-0010,2025-01-25,424,394,224,24
RUN-00025,PLT-001,MAC-0006,PRD-0011,2025-01-26,425,395,225,25
RUN-00026,PLT-002,MAC-0007,PRD-0012,2025-01-27,426,396,226,26
RUN-00027,PLT-003,MAC-0008,PRD-0013,2025-01-28,427,397,227,27
RUN-00028,PLT-004,MAC-0009,PRD-0014,2025-01-29,428,398,228,28
RUN-00029,PLT-005,MAC-0010,PRD-0015,2025-01-30,429,399,229,29
RUN-00030,PLT-001,MAC-0011,PRD-0001,2025-01-31,430,400,230,30
RUN-00031,PLT-002,MAC-0012,PRD-0002,2025-02-01,431,401,231,31
RUN-00032,PLT-003,MAC-0013,PRD-0003,2025-02-02,432,402,232,32
RUN-00033,PLT-004,MAC-0014,PRD-0004,2025-02-03,433,403,233,33
RUN-00034,PLT-005,MAC-0015,PRD-0005,2025-02-04,434,404,234,34
RUN-00035,PLT-001,MAC-0016,PRD-0006,2025-02-05,435,405,235,35
RUN-00036,PLT-002,MAC-0017,PRD-0007,2025-02-06,436,406,236,36
RUN-00037,PLT-003,MAC-0018,PRD-0008,2025-02-07,437,407,237,37
RUN-00038,PLT-004,MAC-0019,PRD-0009,2025-02-08,438,408,238,38
RUN-00039,PLT-005,MAC-0020,PRD-0010,2025-02-09,439,409,239,39
RUN-00040,PLT-001,MAC-0001,PRD-0011,2025-02-10,440,410,240,40
RUN-00041,PLT-002,MAC-0002,PRD-0012,2025-02-11,441,411,241,41
RUN-00042,PLT-003,MAC-0003,PRD-0013,2025-02-12,442,412,242,42
RUN-00043,PLT-004,MAC-0004,PRD-0014,2025-02-13,443,413,243,43
RUN-00044,PLT-005,MAC-0005,PRD-0015,2025-02-14,444,414,244,44
RUN-00045,PLT-001,MAC-0006,PRD-0001,2025-02-15,445,415,245,45
RUN-00046,PLT-002,MAC-0007,PRD-0002,2025-02-16,446,416,246,46
RUN-00047,PLT-003,MAC-0008,PRD-0003,2025-02-17,447,417,247,47
RUN-00048,PLT-004,MAC-0009,PRD-0004,2025-02-18,448,418,248,48
RUN-00049,PLT-005,MAC-0010,PRD-0005,2025-02-19,449,419,249,49
RUN-00050,PLT-001,MAC-0011,PRD-0006,2025-02-20,450,420,250,50
RUN-00051,PLT-002,MAC-0012,PRD-0007,2025-02-21,451,421,251,51
RUN-00052,PLT-003,MAC-0013,PRD-0008,2025-02-22,452,422,252,52
RUN-00053,PLT-004,MAC-0014,PRD-0009,2025-02-23,453,423,253,53
RUN-00054,PLT-005,MAC-0015,PRD-0010,2025-02-24,454,424,254,54
RUN-00055,PLT-001,MAC-0016,PRD-0011,2025-02-25,455,425,255,55
RUN-00056,PLT-002,MAC-0017,PRD-0012,2025-02-26,456,426,256,56
RUN-00057,PLT-003,MAC-0018,PRD-0013,2025-02-27,457,427,257,57
RUN-00058,PLT-004,MAC-0019,PRD-0014,2025-02-28,458,428,258,58
RUN-00059,PLT-005,MAC-0020,PRD-0015,2025-03-01,459,429,259,59
RUN-00060,PLT-001,MAC-0001,PRD-0001,2025-03-02,460,430,260,0
RUN-00061,PLT-002,MAC-0002,PRD-0002,2025-03-03,461,431,261,1
RUN-00062,PLT-003,MAC-0003,PRD-0003,2025-03-04,462,432,262,2
RUN-00063,PLT-004,MAC-0004,PRD-0004,2025-03-05,463,433,263,3
RUN-00064,PLT-005,MAC-0005,PRD-0005,2025-03-06,464,434,264,4
RUN-00065,PLT-001,MAC-0006,PRD-0006,2025-03-07,465,435,265,5
RUN-00066,PLT-002,MAC-0007,PRD-0007,2025-03-08,466,436,266,6
RUN-00067,PLT-003,MAC-0008,PRD-0008,2025-03-09,467,437,267,7
RUN-00068,PLT-004,MAC-0009,PRD-0009,2025-03-10,468,438,268,8
RUN-00069,PLT-005,MAC-0010,PRD-0010,2025-03-11,469,439,269,9
RUN-00070,PLT-001,MAC-0011,PRD-0011,2025-03-12,470,440,270,10
RUN-00071,PLT-002,MAC-0012,PRD-0012,2025-03-13,471,441,271,11
RUN-00072,PLT-003,MAC-0013,PRD-0013,2025-03-14,472,442,272,12
RUN-00073,PLT-004,MAC-0014,PRD-0014,2025-03-15,473,443,273,13
RUN-00074,PLT-005,MAC-0015,PRD-0015,2025-03-16,474,444,274,14
RUN-00075,PLT-001,MAC-0016,PRD-0001,2025-03-17,475,445,275,15
RUN-00076,PLT-002,MAC-0017,PRD-0002,2025-03-18,476,446,276,16
RUN-00077,PLT-003,MAC-0018,PRD-0003,2025-03-19,477,447,277,17
RUN-00078,PLT-004,MAC-0019,PRD-0004,2025-03-20,478,448,278,18
RUN-00079,PLT-005,MAC-0020,PRD-0005,2025-03-21,479,449,279,19
RUN-00080,PLT-001,MAC-0001,PRD-0006,2025-03-22,480,450,280,20
RUN-00081,PLT-002,MAC-0002,PRD-0007,2025-03-23,481,451,281,21
RUN-00082,PLT-003,MAC-0003,PRD-0008,2025-03-24,482,452,282,22
RUN-00083,PLT-004,MAC-0004,PRD-0009,2025-03-25,483,453,283,23
RUN-00084,PLT-005,MAC-0005,PRD-0010,2025-03-26,484,454,284,24
RUN-00085,PLT-001,MAC-0006,PRD-0011,2025-03-27,485,455,285,25
RUN-00086,PLT-002,MAC-0007,PRD-0012,2025-03-28,486,456,286,26
RUN-00087,PLT-003,MAC-0008,PRD-0013,2025-03-29,487,457,287,27
RUN-00088,PLT-004,MAC-0009,PRD-0014,2025-03-30,488,458,288,28
RUN-00089,PLT-005,MAC-0010,PRD-0015,2025-03-31,489,459,289,29
RUN-00090,PLT-001,MAC-0011,PRD-0001,2025-04-01,490,460,290,30
RUN-00091,PLT-002,MAC-0012,PRD-0002,2025-04-02,491,461,291,31
RUN-00092,PLT-003,MAC-0013,PRD-0003,2025-04-03,492,462,292,32
RUN-00093,PLT-004,MAC-0014,PRD-0004,2025-04-04,493,463,293,33
RUN-00094,PLT-005,MAC-0015,PRD-0005,2025-04-05,494,464,294,34
RUN-00095,PLT-001,MAC-0016,PRD-0006,2025-04-06,495,465,295,35
RUN-00096,PLT-002,MAC-0017,PRD-0007,2025-04-07,496,466,296,36
RUN-00097,PLT-003,MAC-0018,PRD-0008,2025-04-08,497,467,297,37
RUN-00098,PLT-004,MAC-0019,PRD-0009,2025-04-09,498,468,298,38
RUN-00099,PLT-005,MAC-0020,PRD-0010,2025-04-10,499,469,299,39
RUN-00100,PLT-001,MAC-0001,PRD-0011,2025-04-11,500,470,300,40
RUN-00101,PLT-002,MAC-0002,PRD-0012,2025-04-12,501,471,301,41
RUN-00102,PLT-003,MAC-0003,PRD-0013,2025-04-13,502,472,302,42
RUN-00103,PLT-004,MAC-0004,PRD-0014,2025-04-14,503,473,303,43
RUN-00104,PLT-005,MAC-0005,PRD-0015,2025-04-15,504,474,304,44
RUN-00105,PLT-001,MAC-0006,PRD-0001,2025-04-16,505,475,305,45
RUN-00106,PLT-002,MAC-0007,PRD-0002,2025-04-17,506,476,306,46
RUN-00107,PLT-003,MAC-0008,PRD-0003,2025-04-18,507,477,307,47
RUN-00108,PLT-004,MAC-0009,PRD-0004,2025-04-19,508,478,308,48
RUN-00109,PLT-005,MAC-0010,PRD-0005,2025-04-20,509,479,309,49
RUN-00110,PLT-001,MAC-0011,PRD-0006,2025-04-21,510,480,310,50
RUN-00111,PLT-002,MAC-0012,PRD-0007,2025-04-22,511,481,311,51
RUN-00112,PLT-003,MAC-0013,PRD-0008,2025-04-23,512,482,312,52
RUN-00113,PLT-004,MAC-0014,PRD-0009,2025-04-24,513,483,313,53
RUN-00114,PLT-005,MAC-0015,PRD-0010,2025-04-25,514,484,314,54
RUN-00115,PLT-001,MAC-0016,PRD-0011,2025-04-26,515,485,315,55
RUN-00116,PLT-002,MAC-0017,PRD-0012,2025-04-27,516,486,316,56
RUN-00117,PLT-003,MAC-0018,PRD-0013,2025-04-28,517,487,317,57
RUN-00118,PLT-004,MAC-0019,PRD-0014,2025-04-29,518,488,318,58
RUN-00119,PLT-005,MAC-0020,PRD-0015,2025-04-30,519,489,319,59
RUN-00120,PLT-001,MAC-0001,PRD-0001,2025-05-01,520,490,320,0
RUN-00121,PLT-002,MAC-0002,PRD-0002,2025-05-02,521,491,321,1
RUN-00122,PLT-003,MAC-0003,PRD-0003,2025-05-03,522,492,322,2
RUN-00123,PLT-004,MAC-0004,PRD-0004,2025-05-04,523,493,323,3
RUN-00124,PLT-005,MAC-0005,PRD-0005,2025-05-05,524,494,324,4
RUN-00125,PLT-001,MAC-0006,PRD-0006,2025-05-06,525,495,325,5
RUN-00126,PLT-002,MAC-0007,PRD-0007,2025-05-07,526,496,326,6
RUN-00127,PLT-003,MAC-0008,PRD-0008,2025-05-08,527,497,327,7
RUN-00128,PLT-004,MAC-0009,PRD-0009,2025-05-09,528,498,328,8
RUN-00129,PLT-005,MAC-0010,PRD-0010,2025-05-10,529,499,329,9
RUN-00130,PLT-001,MAC-0011,PRD-0011,2025-05-11,530,500,330,10
RUN-00131,PLT-002,MAC-0012,PRD-0012,2025-05-12,531,501,331,11
RUN-00132,PLT-003,MAC-0013,PRD-0013,2025-05-13,532,502,332,12
RUN-00133,PLT-004,MAC-0014,PRD-0014,2025-05-14,533,503,333,13
RUN-00134,PLT-005,MAC-0015,PRD-0015,2025-05-15,534,504,334,14
RUN-00135,PLT-001,MAC-0016,PRD-0001,2025-05-16,535,505,335,15
RUN-00136,PLT-002,MAC-0017,PRD-0002,2025-05-17,536,506,336,16
RUN-00137,PLT-003,MAC-0018,PRD-0003,2025-05-18,537,507,337,17
RUN-00138,PLT-004,MAC-0019,PRD-0004,2025-05-19,538,508,338,18
RUN-00139,PLT-005,MAC-0020,PRD-0005,2025-05-20,539,509,339,19
RUN-00140,PLT-001,MAC-0001,PRD-0006,2025-05-21,540,510,340,20
RUN-00141,PLT-002,MAC-0002,PRD-0007,2025-05-22,541,511,341,21
RUN-00142,PLT-003,MAC-0003,PRD-0008,2025-05-23,542,512,342,22
RUN-00143,PLT-004,MAC-0004,PRD-0009,2025-05-24,543,513,343,23
RUN-00144,PLT-005,MAC-0005,PRD-0010,2025-05-25,544,514,344,24
RUN-00145,PLT-001,MAC-0006,PRD-0011,2025-05-26,545,515,345,25
RUN-00146,PLT-002,MAC-0007,PRD-0012,2025-05-27,546,516,346,26
RUN-00147,PLT-003,MAC-0008,PRD-0013,2025-05-28,547,517,347,27
RUN-00148,PLT-004,MAC-0009,PRD-0014,2025-05-29,548,518,348,28
RUN-00149,PLT-005,MAC-0010,PRD-0015,2025-05-30,549,519,349,29
RUN-00150,PLT-001,MAC-0011,PRD-0001,2025-05-31,550,520,350,30
RUN-00151,PLT-002,MAC-0012,PRD-0002,2025-06-01,551,521,351,31
RUN-00152,PLT-003,MAC-0013,PRD-0003,2025-06-02,552,522,352,32
RUN-00153,PLT-004,MAC-0014,PRD-0004,2025-06-03,553,523,353,33
RUN-00154,PLT-005,MAC-0015,PRD-0005,2025-06-04,554,524,354,34
RUN-00155,PLT-001,MAC-0016,PRD-0006,2025-06-05,555,525,355,35
RUN-00156,PLT-002,MAC-0017,PRD-0007,2025-06-06,556,526,356,36
RUN-00157,PLT-003,MAC-0018,PRD-0008,2025-06-07,557,527,357,37
RUN-00158,PLT-004,MAC-0019,PRD-0009,2025-06-08,558,528,358,38
RUN-00159,PLT-005,MAC-0020,PRD-0010,2025-06-09,559,529,359,39
RUN-00160,PLT-001,MAC-0001,PRD-0011,2025-06-10,560,530,360,40
