order_item_id,order_id,product_id,quantity,unit_price,line_amount
OI-000001,ORD-000002,PRD-0002,2,84.5,169.0
OI-000002,ORD-000003,PRD-0003,3,101.75,305.25
OI-000003,ORD-000004,PRD-0004,4,119.0,476.0
OI-000004,ORD-000005,PRD-0005,5,136.25,681.25
OI-000005,ORD-000006,PRD-0006,1,153.5,153.5
OI-000006,ORD-000007,PRD-0007,2,170.75,341.5
OI-000007,ORD-000008,,3,188.0,564.0
OI-000008,ORD-000009,PRD-0009,4,205.25,821.0
OI-000009,ORD-000010,PRD-0010,5,222.5,1112.5
OI-000010,ORD-000011,PRD-0011,1,239.75,239.75
OI-000011,ORD-000012,PRD-0012,2,257.0,514.0
OI-000012,ORD-000013,PRD-0013,3,274.25,822.75
OI-000013,ORD-000014,PRD-0014,4,291.5,1166.0
OI-000014,ORD-000015,PRD-0015,5,308.75,1543.75
OI-000015,ORD-000016,PRD-0016,1,326.0,326.0
OI-000016,ORD-000017,PRD-0017,2,343.25,686.5
OI-000017,ORD-000018,PRD-0018,3,360.5,1081.5
OI-000018,ORD-000019,PRD-0019,4,377.75,1511.0
OI-000019,ORD-000020,PRD-0020,5,395.0,1975.0
OI-000020,ORD-000021,PRD-0021,1,412.25,412.25
OI-000021,ORD-000022,PRD-0022,2,429.5,859.0
OI-000022,ORD-000023,PRD-0023,3,446.75,1340.25
OI-000023,ORD-000024,PRD-0024,4,464.0,1856.0
OI-000024,ORD-000025,PRD-0025,5,481.25,2406.25
OI-000025,ORD-000026,PRD-0026,1,498.5,498.5
OI-000026,ORD-000027,PRD-0027,2,515.75,1031.5
OI-000027,ORD-000028,PRD-0028,3,533.0,1599.0
OI-000028,ORD-000029,PRD-0029,4,550.25,2201.0
OI-000029,ORD-000030,PRD-0030,5,567.5,2837.5
OI-000030,ORD-000031,PRD-0001,1,67.25,67.25
OI-000031,ORD-000032,PRD-0002,2,84.5,169.0
OI-000032,ORD-000033,PRD-0003,3,101.75,305.25
OI-000033,ORD-000034,PRD-0004,4,119.0,476.0
OI-000034,ORD-000035,PRD-0005,5,136.25,681.25
OI-000035,ORD-000036,PRD-0006,1,153.5,153.5
OI-000036,ORD-000037,PRD-0007,2,170.75,341.5
OI-000037,ORD-000038,PRD-0008,3,188.0,564.0
OI-000038,ORD-000039,PRD-0009,4,205.25,821.0
OI-000039,ORD-000040,PRD-0010,5,222.5,1112.5
OI-000040,ORD-000041,PRD-0011,1,239.75,239.75
OI-000041,ORD-000042,PRD-0012,2,257.0,514.0
OI-000042,ORD-000043,PRD-0013,3,274.25,822.75
OI-000043,ORD-000044,PRD-0014,4,291.5,1166.0
OI-000044,ORD-000045,PRD-0015,5,308.75,1543.75
OI-000045,ORD-000046,PRD-0016,1,326.0,326.0
OI-000046,ORD-000047,PRD-0017,2,343.25,686.5
OI-000047,ORD-000048,PRD-0018,3,360.5,1081.5
OI-000048,ORD-000049,PRD-0019,4,377.75,1511.0
OI-000049,ORD-000050,PRD-0020,5,395.0,1975.0
OI-000050,ORD-000051,PRD-0021,1,412.25,412.25
OI-000051,ORD-000052,PRD-0022,2,429.5,859.0
OI-000052,ORD-000053,PRD-0023,3,446.75,1340.25
OI-000053,ORD-000054,PRD-0024,4,464.0,1856.0
OI-000054,ORD-000055,PRD-0025,5,481.25,2406.25
OI-000055,ORD-000056,PRD-0026,1,498.5,498.5
OI-000056,ORD-000057,PRD-0027,2,515.75,1031.5
OI-000057,ORD-000058,PRD-0028,3,533.0,1599.0
OI-000058,ORD-000059,PRD-0029,4,550.25,2201.0
OI-000059,ORD-000060,PRD-0030,5,567.5,2837.5
OI-000060,ORD-000061,PRD-0001,1,67.25,67.25
OI-000061,ORD-000062,PRD-0002,2,84.5,169.0
OI-000062,ORD-000063,PRD-0003,3,101.75,305.25
OI-000063,ORD-000064,PRD-0004,4,119.0,476.0
OI-000064,ORD-000065,PRD-0005,5,136.25,681.25
OI-000065,ORD-000066,PRD-0006,1,153.5,153.5
OI-000066,ORD-000067,PRD-0007,2,170.75,341.5
OI-000067,ORD-000068,PRD-0008,3,188.0,564.0
OI-000068,ORD-000069,PRD-0009,4,205.25,821.0
OI-000069,ORD-000070,PRD-0010,5,222.5,1112.5
OI-000070,ORD-000071,PRD-0011,1,239.75,239.75
OI-000071,ORD-000072,PRD-0012,2,257.0,514.0
OI-000072,ORD-000073,PRD-0013,3,274.25,822.75
OI-000073,ORD-000074,PRD-0014,4,291.5,1166.0
OI-000074,ORD-000075,PRD-0015,5,308.75,1543.75
OI-000075,ORD-000076,PRD-0016,1,326.0,326.0
OI-000076,ORD-000077,PRD-0017,2,343.25,686.5
OI-000077,ORD-000078,PRD-0018,3,360.5,1081.5
OI-000078,ORD-000079,PRD-0019,4,377.75,1511.0
OI-000079,ORD-000080,PRD-0020,5,395.0,1975.0
OI-000080,ORD-000081,PRD-0021,1,412.25,412.25
OI-000081,ORD-000082,PRD-0022,2,429.5,859.0
OI-000082,ORD-000083,PRD-0023,3,446.75,1340.25
OI-000083,ORD-000084,PRD-0024,4,464.0,1856.0
OI-000084,ORD-000085,PRD-0025,5,481.25,2406.25
OI-000085,ORD-000086,PRD-0026,1,498.5,498.5
