order_id,customer_id,store_id,order_date,order_status,payment_method,discount_amount
ORD-000001,CUS-0002,STR-002,2025-01-02,Completed,UPI,20.0
ORD-000002,CUS-0003,STR-003,2025-01-03,Completed,Cash,40.0
ORD-000003,CUS-0004,STR-004,2025-01-04,Completed,Card,60.0
ORD-000004,CUS-0005,STR-005,2025-01-05,Completed,UPI,0.0
ORD-000005,CUS-0006,STR-006,2025-01-06,Completed,Cash,20.0
ORD-000006,CUS-0007,STR-001,2025-01-07,Completed,Card,40.0
ORD-000007,CUS-0008,STR-002,2025-01-08,Returned,UPI,60.0
ORD-000008,CUS-0009,STR-003,2025-01-09,Completed,Cash,0.0
ORD-000009,CUS-0010,STR-004,2025-01-10,Completed,Card,20.0
ORD-000010,CUS-0011,STR-005,2025-01-11,Completed,UPI,40.0
ORD-000011,CUS-0012,STR-006,2025-01-12,Completed,Cash,60.0
ORD-000012,CUS-0013,STR-001,2025-01-13,Completed,Card,0.0
ORD-000013,CUS-0014,STR-002,2025-01-14,Completed,UPI,20.0
ORD-000014,CUS-0015,STR-003,2025-01-15,Returned,Cash,40.0
ORD-000015,CUS-0016,STR-004,2025-01-16,Completed,Card,60.0
ORD-000016,CUS-0017,STR-005,2025-01-17,Completed,UPI,0.0
ORD-000017,CUS-0018,STR-006,2025-01-18,Completed,Cash,20.0
ORD-000018,CUS-0019,STR-001,2025-01-19,Completed,Card,40.0
ORD-000019,CUS-0020,STR-002,2025-01-20,Completed,UPI,60.0
ORD-000020,CUS-0021,STR-003,2025-01-21,Completed,Cash,0.0
ORD-000021,CUS-0022,STR-004,2025-01-22,Returned,Card,20.0
ORD-000022,CUS-0023,STR-005,2025-01-23,Completed,UPI,40.0
ORD-000023,CUS-0024,STR-006,2025-01-24,Completed,Cash,60.0
ORD-000024,CUS-0025,STR-001,2025-01-25,Completed,Card,0.0
ORD-000025,CUS-0026,STR-002,2025-01-26,Completed,UPI,20.0
ORD-000026,CUS-0027,STR-003,2025-01-27,Completed,Cash,40.0
ORD-000027,CUS-0028,STR-004,2025-01-28,Completed,Card,60.0
ORD-000028,CUS-0029,STR-005,2025-01-29,Returned,UPI,0.0
ORD-000029,CUS-0030,STR-006,2025-01-30,Completed,Cash,20.0
ORD-000030,CUS-0031,STR-001,2025-01-31,Completed,Card,40.0
ORD-000031,CUS-0032,STR-002,2025-02-01,Completed,UPI,60.0
