product_id,product_name,category,brand,unit_price
PRD-0001,Product 1,Home,Axis,67.25
PRD-0002,Product 2,Grocery,Urban,84.5
PRD-0003,Product 3,Apparel,Nova,101.75
PRD-0004,Product 4,Electronics,Axis,119.0
PRD-0005,Product 5,Home,Urban,136.25
PRD-0006,Product 6,Grocery,Nova,153.5
PRD-0007,Product 7,Apparel,Axis,170.75
PRD-0008,Product 8,Electronics,Urban,188.0
PRD-0009,Product 9,Home,Nova,205.25
PRD-0010,Product 10,Grocery,Axis,222.5
PRD-0011,Product 11,Apparel,Urban,239.75
PRD-0012,Product 12,Electronics,Nova,257.0
PRD-0013,Product 13,Home,Axis,274.25
PRD-0014,Product 14,Grocery,Urban,291.5
PRD-0015,Product 15,Apparel,Nova,308.75
PRD-0016,Product 16,Electronics,Axis,326.0
PRD-0017,Product 17,Home,Urban,343.25
PRD-0018,Product 18,Grocery,Nova,360.5
PRD-0019,Product 19,Apparel,Axis,377.75
PRD-0020,Product 20,Electronics,Urban,395.0
PRD-0021,Product 21,Home,Nova,412.25
PRD-0022,Product 22,Grocery,Axis,429.5
PRD-0023,Product 23,Apparel,Urban,446.75
PRD-0024,Product 24,Electronics,Nova,464.0
PRD-0025,Product 25,Home,Axis,481.25
PRD-0026,Product 26,Grocery,Urban,498.5
PRD-0027,Product 27,Apparel,Nova,515.75
PRD-0028,Product 28,Electronics,Axis,533.0
PRD-0029,Product 29,Home,Urban,550.25
PRD-0030,Product 30,Grocery,Nova,567.5
