promotion_id,product_id,promo_code,start_date,end_date,discount_pct
PRO-001,PRD-0002,SAVE6,2025-01-02,2025-02-01,10
PRO-002,PRD-0003,SAVE7,2025-01-03,2025-02-02,15
PRO-003,PRD-0004,SAVE8,2025-01-04,2025-02-03,20
PRO-004,PRD-0005,SAVE9,2025-01-05,2025-02-04,5
PRO-005,PRD-0006,SAVE5,2025-01-06,2025-02-05,10
PRO-006,PRD-0007,SAVE6,2025-01-07,2025-02-06,15
PRO-007,PRD-0008,SAVE7,2025-01-08,2025-02-07,20
PRO-008,PRD-0009,SAVE8,2025-01-09,2025-02-08,5
PRO-009,PRD-0010,SAVE9,2025-01-10,2025-02-09,10
PRO-010,PRD-0011,SAVE5,2025-01-11,2025-02-10,15
PRO-011,PRD-0012,SAVE6,2025-01-12,2025-02-11,20
PRO-012,PRD-0013,SAVE7,2025-01-13,2025-02-12,5
PRO-013,PRD-0014,SAVE8,2025-01-14,2025-02-13,10
PRO-014,PRD-0015,SAVE9,2025-01-15,2025-02-14,15
PRO-015,PRD-0016,SAVE5,2025-01-16,2025-02-15,20
PRO-016,PRD-0017,SAVE6,2025-01-17,2025-02-16,5
PRO-017,PRD-0018,SAVE7,2025-01-18,2025-02-17,10
PRO-018,PRD-0019,SAVE8,2025-01-19,2025-02-18,15
PRO-019,PRD-0020,SAVE9,2025-01-20,2025-02-19,20
PRO-020,PRD-0021,SAVE5,2025-01-21,2025-02-20,5
PRO-021,PRD-0022,SAVE6,2025-01-22,2025-02-21,10
PRO-022,PRD-0023,SAVE7,2025-01-23,2025-02-22,15
PRO-023,PRD-0024,SAVE8,2025-01-24,2025-02-23,20
PRO-024,PRD-0025,SAVE9,2025-01-25,2025-02-24,5
PRO-025,PRD-0026,SAVE5,2025-01-26,2025-02-25,10
PRO-026,PRD-0027,SAVE6,2025-01-27,2025-02-26,15
PRO-027,PRD-0028,SAVE7,2025-01-28,2025-02-27,20
PRO-028,PRD-0029,SAVE8,2025-01-29,2025-02-28,5
PRO-029,PRD-0030,SAVE9,2025-01-30,2025-03-01,10
PRO-030,PRD-0001,SAVE5,2025-01-31,2025-03-02,15
PRO-031,PRD-0002,SAVE6,2025-02-01,2025-03-03,20
PRO-032,PRD-0003,SAVE7,2025-02-02,2025-03-04,5
PRO-033,PRD-0004,SAVE8,2025-02-03,2025-03-05,10
PRO-034,PRD-0005,SAVE9,2025-02-04,2025-03-06,15
PRO-035,PRD-0006,SAVE5,2025-02-05,2025-03-07,20
PRO-036,PRD-0007,SAVE6,2025-02-06,2025-03-08,5
PRO-037,PRD-0008,SAVE7,2025-02-07,2025-03-09,10
PRO-038,PRD-0009,SAVE8,2025-02-08,2025-03-10,15
PRO-039,PRD-0010,SAVE9,2025-02-09,2025-03-11,20
PRO-040,PRD-0011,SAVE5,2025-02-10,2025-03-12,5
PRO-041,PRD-0012,SAVE6,2025-02-11,2025-03-13,10
PRO-042,PRD-0013,SAVE7,2025-02-12,2025-03-14,15
PRO-043,PRD-0014,SAVE8,2025-02-13,2025-03-15,20
PRO-044,PRD-0015,SAVE9,2025-02-14,2025-03-16,5
PRO-045,PRD-0016,SAVE5,2025-02-15,2025-03-17,10
