device_id,customer_id,imei,device_model,activation_date
DEV-0001,CUS-0002,35678910000001,Galaxy,2025-01-02
DEV-0002,CUS-0003,35678910000002,iPhone,2025-01-03
DEV-0003,CUS-0004,35678910000003,Pixel,2025-01-04
DEV-0004,CUS-0005,35678910000004,Galaxy,2025-01-05
DEV-0005,CUS-0006,35678910000005,iPhone,2025-01-06
DEV-0006,CUS-0007,35678910000006,Pixel,2025-01-07
DEV-0007,CUS-0008,35678910000007,Galaxy,2025-01-08
DEV-0008,CUS-0009,35678910000008,iPhone,2025-01-09
DEV-0009,CUS-0010,35678910000009,Pixel,2025-01-10
DEV-0010,CUS-0011,35678910000010,Galaxy,2025-01-11
DEV-0011,CUS-0012,35678910000011,iPhone,2025-01-12
DEV-0012,CUS-0013,35678910000012,Pixel,2025-01-13
DEV-0013,CUS-0014,35678910000013,Galaxy,2025-01-14
DEV-0014,CUS-0015,35678910000014,iPhone,2025-01-15
DEV-0015,CUS-0016,35678910000015,Pixel,2025-01-16
DEV-0016,CUS-0017,35678910000016,Galaxy,2025-01-17
DEV-0017,CUS-0018,35678910000017,iPhone,2025-01-18
DEV-0018,CUS-0019,35678910000018,Pixel,2025-01-19
DEV-0019,CUS-0020,35678910000019,Galaxy,2025-01-20
DEV-0020,CUS-0021,35678910000020,iPhone,2025-01-21
DEV-0021,CUS-0022,35678910000021,Pixel,2025-01-22
DEV-0022,CUS-0023,35678910000022,Galaxy,2025-01-23
DEV-0023,CUS-0024,35678910000023,iPhone,2025-01-24
DEV-0024,CUS-0025,35678910000024,Pixel,2025-01-25
DEV-0025,CUS-0026,35678910000025,Galaxy,2025-01-26
DEV-0026,CUS-0027,35678910000026,iPhone,2025-01-27
DEV-0027,CUS-0028,35678910000027,Pixel,2025-01-28
DEV-0028,CUS-0029,35678910000028,Galaxy,2025-01-29
DEV-0029,CUS-0030,35678910000029,iPhone,2025-01-30
DEV-0030,CUS-0031,35678910000030,Pixel,2025-01-31
DEV-0031,CUS-0032,35678910000031,Galaxy,2025-02-01
DEV-0032,CUS-0033,35678910000032,iPhone,2025-02-02
DEV-0033,CUS-0034,35678910000033,Pixel,2025-02-03
DEV-0034,CUS-0035,35678910000034,Galaxy,2025-02-04
DEV-0035,CUS-0036,35678910000035,iPhone,2025-02-05
DEV-0036,CUS-0037,35678910000036,Pixel,2025-02-06
DEV-0037,CUS-0038,35678910000037,Galaxy,2025-02-07
DEV-0038,CUS-0039,35678910000038,iPhone,2025-02-08
DEV-0039,CUS-0040,35678910000039,Pixel,2025-02-09
DEV-0040,CUS-0041,35678910000040,Galaxy,2025-02-10
DEV-0041,CUS-0042,35678910000041,iPhone,2025-02-11
DEV-0042,CUS-0043,35678910000042,Pixel,2025-02-12
DEV-0043,CUS-0044,35678910000043,Galaxy,2025-02-13
DEV-0044,CUS-0045,35678910000044,iPhone,2025-02-14
DEV-0045,CUS-0046,35678910000045,Pixel,2025-02-15
DEV-0046,CUS-0047,35678910000046,Galaxy,2025-02-16
DEV-0047,CUS-0048,35678910000047,iPhone,2025-02-17
DEV-0048,CUS-0049,35678910000048,Pixel,2025-02-18
DEV-0049,CUS-0050,35678910000049,Galaxy,2025-02-19
DEV-0050,CUS-0001,35678910000050,iPhone,2025-02-20
DEV-0051,CUS-0002,35678910000051,Pixel,2025-02-21
DEV-0052,CUS-0003,35678910000052,Galaxy,2025-02-22
DEV-0053,CUS-0004,35678910000053,iPhone,2025-02-23
DEV-0054,CUS-0005,35678910000054,Pixel,2025-02-24
DEV-0055,CUS-0006,35678910000055,Galaxy,2025-02-25
DEV-0056,CUS-0007,35678910000056,iPhone,2025-02-26
DEV-0057,CUS-0008,35678910000057,Pixel,2025-02-27
DEV-0058,CUS-0009,35678910000058,Galaxy,2025-02-28
DEV-0059,CUS-0010,35678910000059,iPhone,2025-03-01
DEV-0060,CUS-0011,35678910000060,Pixel,2025-03-02
DEV-0061,CUS-0012,35678910000061,Galaxy,2025-03-03
DEV-0062,CUS-0013,35678910000062,iPhone,2025-03-04
DEV-0063,CUS-0014,35678910000063,Pixel,2025-03-05
DEV-0064,CUS-0015,35678910000064,Galaxy,2025-03-06
DEV-0065,CUS-0016,35678910000065,iPhone,2025-03-07
