ticket_id,customer_id,tower_id,opened_date,issue_type,resolution_hours,ticket_status
TKT-00001,CUS-0002,TWR-002,2025-01-02,Billing,1.5,Closed
TKT-00002,CUS-0003,TWR-003,2025-01-03,Device,2.0,Closed
TKT-00003,CUS-0004,TWR-004,2025-01-04,Network,2.5,Closed
TKT-00004,CUS-0005,TWR-005,2025-01-05,Billing,3.0,Open
TKT-00005,CUS-0006,TWR-006,2025-01-06,Device,3.5,Closed
TKT-00006,CUS-0007,TWR-007,2025-01-07,Network,4.0,Closed
TKT-00007,CUS-0008,TWR-008,2025-01-08,Billing,4.5,Closed
TKT-00008,CUS-0009,TWR-009,2025-01-09,Device,5.0,Open
TKT-00009,CUS-0010,TWR-010,2025-01-10,Network,5.5,Closed
TKT-00010,CUS-0011,TWR-011,2025-01-11,Billing,6.0,Closed
TKT-00011,CUS-0012,TWR-012,2025-01-12,Device,6.5,Closed
TKT-00012,CUS-0013,TWR-001,2025-01-13,Network,7.0,Open
TKT-00013,CUS-0014,TWR-002,2025-01-14,Billing,7.5,Closed
TKT-00014,CUS-0015,TWR-003,2025-01-15,Device,8.0,Closed
TKT-00015,CUS-0016,TWR-004,2025-01-16,Network,8.5,Closed
TKT-00016,CUS-0017,TWR-005,2025-01-17,Billing,9.0,Open
TKT-00017,CUS-0018,TWR-006,2025-01-18,Device,9.5,Closed
TKT-00018,CUS-0019,TWR-007,2025-01-19,Network,10.0,Closed
TKT-00019,CUS-0020,TWR-008,2025-01-20,Billing,10.5,Closed
TKT-00020,CUS-0021,TWR-009,2025-01-21,Device,11.0,Open
TKT-00021,CUS-0022,TWR-010,2025-01-22,Network,11.5,Closed
TKT-00022,CUS-0023,TWR-011,2025-01-23,Billing,12.0,Closed
TKT-00023,CUS-0024,TWR-012,2025-01-24,Device,12.5,Closed
TKT-00024,CUS-0025,TWR-001,2025-01-25,Network,13.0,Open
TKT-00025,CUS-0026,TWR-002,2025-01-26,Billing,13.5,Closed
TKT-00026,CUS-0027,TWR-003,2025-01-27,Device,14.0,Closed
TKT-00027,CUS-0028,TWR-004,2025-01-28,Network,14.5,Closed
TKT-00028,CUS-0029,TWR-005,2025-01-29,Billing,15.0,Open
TKT-00029,CUS-0030,TWR-006,2025-01-30,Device,15.5,Closed
TKT-00030,CUS-0031,TWR-007,2025-01-31,Network,16.0,Closed
TKT-00031,CUS-0032,TWR-008,2025-02-01,Billing,16.5,Closed
TKT-00032,CUS-0033,TWR-009,2025-02-02,Device,17.0,Open
TKT-00033,CUS-0034,TWR-010,2025-02-03,Network,17.5,Closed
TKT-00034,CUS-0035,TWR-011,2025-02-04,Billing,18.0,Closed
TKT-00035,CUS-0036,TWR-012,2025-02-05,Device,18.5,Closed
TKT-00036,CUS-0037,TWR-001,2025-02-06,Network,19.0,Open
TKT-00037,CUS-0038,TWR-002,2025-02-07,Billing,19.5,Closed
TKT-00038,CUS-0039,TWR-003,2025-02-08,Device,20.0,Closed
TKT-00039,CUS-0040,TWR-004,2025-02-09,Network,20.5,Closed
TKT-00040,CUS-0041,TWR-005,2025-02-10,Billing,21.0,Open
TKT-00041,CUS-0042,TWR-006,2025-02-11,Device,21.5,Closed
TKT-00042,CUS-0043,TWR-007,2025-02-12,Network,22.0,Closed
TKT-00043,CUS-0044,TWR-008,2025-02-13,Billing,22.5,Closed
TKT-00044,CUS-0045,TWR-009,2025-02-14,Device,23.0,Open
TKT-00045,CUS-0046,TWR-010,2025-02-15,Network,23.5,Closed
TKT-00046,CUS-0047,TWR-011,2025-02-16,Billing,24.0,Closed
TKT-00047,CUS-0048,TWR-012,2025-02-17,Device,24.5,Closed
TKT-00048,CUS-0049,TWR-001,2025-02-18,Network,25.0,Open
TKT-00049,CUS-0050,TWR-002,2025-02-19,Billing,25.5,Closed
TKT-00050,CUS-0001,TWR-003,2025-02-20,Device,26.0,Closed
TKT-00051,CUS-0002,TWR-004,2025-02-21,Network,26.5,Closed
TKT-00052,CUS-0003,TWR-005,2025-02-22,Billing,27.0,Open
TKT-00053,CUS-0004,TWR-006,2025-02-23,Device,27.5,Closed
TKT-00054,CUS-0005,TWR-007,2025-02-24,Network,28.0,Closed
TKT-00055,CUS-0006,TWR-008,2025-02-25,Billing,28.5,Closed
TKT-00056,CUS-0007,TWR-009,2025-02-26,Device,29.0,Open
TKT-00057,CUS-0008,TWR-010,2025-02-27,Network,29.5,Closed
TKT-00058,CUS-0009,TWR-011,2025-02-28,Billing,30.0,Closed
TKT-00059,CUS-0010,TWR-012,2025-03-01,Device,30.5,Closed
TKT-00060,CUS-0011,TWR-001,2025-03-02,Network,31.0,Open
TKT-00061,CUS-0012,TWR-002,2025-03-03,Billing,31.5,Closed
TKT-00062,CUS-0013,TWR-003,2025-03-04,Device,32.0,Closed
TKT-00063,CUS-0014,TWR-004,2025-03-05,Network,32.5,Closed
TKT-00064,CUS-0015,TWR-005,2025-03-06,Billing,33.0,Open
TKT-00065,CUS-0016,TWR-006,2025-03-07,Device,33.5,Closed
TKT-00066,CUS-0017,TWR-007,2025-03-08,Network,34.0,Closed
TKT-00067,CUS-0018,TWR-008,2025-03-09,Billing,34.5,Closed
