usage_id,customer_id,plan_id,device_id,tower_id,usage_date,data_mb,call_minutes,sms_count
USG-000001,CUS-0002,PLN-002,DEV-0002,TWR-002,2025-01-02,107.2,1,1
USG-000002,CUS-0003,PLN-003,DEV-0003,TWR-003,2025-01-03,114.4,2,2
USG-000003,CUS-0004,PLN-004,DEV-0004,TWR-004,2025-01-04,121.6,3,3
USG-000004,CUS-0005,PLN-001,DEV-0005,TWR-005,2025-01-05,128.8,4,4
USG-000005,CUS-0006,PLN-002,DEV-0006,TWR-006,2025-01-06,136.0,5,5
USG-000006,CUS-0007,PLN-003,DEV-0007,TWR-007,2025-01-07,143.2,6,6
USG-000007,CUS-0008,PLN-004,DEV-0008,TWR-008,2025-01-08,150.4,7,7
USG-000008,CUS-0009,PLN-001,DEV-0009,TWR-009,2025-01-09,157.6,8,8
USG-000009,CUS-0010,PLN-002,DEV-0010,TWR-010,2025-01-10,164.8,9,9
USG-000010,CUS-0011,PLN-003,DEV-0011,TWR-011,2025-01-11,172.0,10,10
USG-000011,CUS-0012,PLN-004,DEV-0012,TWR-012,2025-01-12,179.2,11,11
USG-000012,CUS-0013,PLN-001,DEV-0013,TWR-001,2025-01-13,186.4,12,12
USG-000013,CUS-0014,PLN-002,DEV-0014,TWR-002,2025-01-14,193.6,13,13
USG-000014,CUS-0015,PLN-003,DEV-0015,TWR-003,2025-01-15,200.8,14,14
USG-000015,CUS-0016,PLN-004,DEV-0016,TWR-004,2025-01-16,208.0,15,0
USG-000016,CUS-0017,PLN-001,DEV-0017,TWR-005,2025-01-17,215.2,16,1
USG-000017,CUS-0018,PLN-002,DEV-0018,TWR-006,2025-01-18,222.4,17,2
USG-000018,CUS-0019,PLN-003,DEV-0019,TWR-007,2025-01-19,229.6,18,3
USG-000019,CUS-0020,PLN-004,DEV-0020,TWR-008,2025-01-20,236.8,19,4
USG-000020,CUS-0021,PLN-001,DEV-0021,TWR-009,2025-01-21,244.0,20,5
USG-000021,CUS-0022,PLN-002,DEV-0022,TWR-010,2025-01-22,251.2,21,6
USG-000022,CUS-0023,PLN-003,DEV-0023,TWR-011,2025-01-23,258.4,22,7
USG-000023,CUS-0024,PLN-004,DEV-0024,TWR-012,2025-01-24,265.6,23,8
USG-000024,CUS-0025,PLN-001,DEV-0025,TWR-001,2025-01-25,272.8,24,9
USG-000025,CUS-0026,PLN-002,DEV-0026,TWR-002,2025-01-26,280.0,25,10
USG-000026,CUS-0027,PLN-003,DEV-0027,TWR-003,2025-01-27,287.2,26,11
