booking_service_id,booking_id,service_type,service_amount
BS-00001,BKG-000002,Meal,350
BS-00002,BKG-000003,Lounge,450
BS-00003,BKG-000004,Baggage,550
BS-00004,BKG-000005,Meal,650
BS-00005,BKG-000006,Lounge,250
BS-00006,BKG-000007,Baggage,350
BS-00007,BKG-000008,Meal,450
BS-00008,BKG-000009,Lounge,550
BS-00009,BKG-000010,Baggage,650
BS-00010,BKG-000011,Meal,250
BS-00011,BKG-000012,Lounge,350
BS-00012,BKG-000013,Baggage,450
BS-00013,BKG-000014,Meal,550
BS-00014,BKG-000015,Lounge,650
BS-00015,BKG-000016,Baggage,250
BS-00016,BKG-000017,Meal,350
BS-00017,BKG-000018,Lounge,450
BS-00018,BKG-000019,Baggage,550
BS-00019,BKG-000020,Meal,650
BS-00020,BKG-000021,Lounge,250
BS-00021,BKG-000022,Baggage,350
BS-00022,BKG-000023,Meal,450
BS-00023,BKG-000024,Lounge,550
BS-00024,BKG-000025,Baggage,650
BS-00025,BKG-000026,Meal,250
BS-00026,BKG-000027,Lounge,350
BS-00027,BKG-000028,Baggage,450
BS-00028,BKG-000029,Meal,550
BS-00029,BKG-000030,Lounge,650
BS-00030,BKG-000031,Baggage,250
BS-00031,BKG-000032,Meal,350
BS-00032,BKG-000033,Lounge,450
BS-00033,BKG-000034,Baggage,550
BS-00034,BKG-000035,Meal,650
BS-00035,BKG-000036,Lounge,250
BS-00036,BKG-000037,Baggage,350
BS-00037,BKG-000038,Meal,450
BS-00038,BKG-000039,Lounge,550
BS-00039,BKG-000040,Baggage,650
BS-00040,BKG-000041,Meal,250
BS-00041,BKG-000042,Lounge,350
BS-00042,BKG-000043,Baggage,450
BS-00043,BKG-000044,Meal,550
BS-00044,BKG-000045,Lounge,650
BS-00045,BKG-000046,Baggage,250
BS-00046,BKG-000047,Meal,350
BS-00047,BKG-000048,Lounge,450
BS-00048,BKG-000049,Baggage,550
BS-00049,BKG-000050,Meal,650
BS-00050,BKG-000051,Lounge,250
BS-00051,BKG-000052,Baggage,350
BS-00052,BKG-000053,Meal,450
BS-00053,BKG-000054,Lounge,550
BS-00054,BKG-000055,Baggage,650
BS-00055,BKG-000056,Meal,250
BS-00056,BKG-000057,Lounge,350
BS-00057,BKG-000058,Baggage,450
BS-00058,BKG-000059,Meal,550
BS-00059,BKG-000060,Lounge,650
BS-00060,BKG-000061,Baggage,250
BS-00061,BKG-000062,Meal,350
BS-00062,BKG-000063,Lounge,450
BS-00063,BKG-000064,Baggage,550
BS-00064,BKG-000065,Meal,650
BS-00065,BKG-000066,Lounge,250
BS-00066,BKG-000067,Baggage,350
BS-00067,BKG-000068,Meal,450
BS-00068,BKG-000069,Lounge,550
BS-00069,BKG-000070,Baggage,650
BS-00070,BKG-000071,Meal,250
BS-00071,BKG-000072,Lounge,350
BS-00072,BKG-000073,Baggage,450
BS-00073,BKG-000074,Meal,550
BS-00074,BKG-000075,Lounge,650
BS-00075,BKG-000076,Baggage,250
BS-00076,BKG-000077,Meal,350
BS-00077,BKG-000078,Lounge,450
BS-00078,BKG-000079,Baggage,550
BS-00079,BKG-000080,Meal,650
BS-00080,BKG-000081,Lounge,250
BS-00081,BKG-000082,Baggage,350
BS-00082,BKG-000083,Meal,450
BS-00083,BKG-000084,Lounge,550
BS-00084,BKG-000085,Baggage,650
BS-00085,BKG-000086,Meal,250
BS-00086,BKG-000087,Lounge,350
BS-00087,BKG-000088,Baggage,450
BS-00088,BKG-000089,Meal,550
BS-00089,BKG-000090,Lounge,650
BS-00090,BKG-000091,Baggage,250
BS-00091,BKG-000092,Meal,350
BS-00092,BKG-000093,Lounge,450
BS-00093,BKG-000094,Baggage,550
BS-00094,BKG-000095,Meal,650
BS-00095,BKG-000096,Lounge,250
BS-00096,BKG-000097,Baggage,350
BS-00097,BKG-000098,Meal,450
BS-00098,BKG-000099,Lounge,550
BS-00099,BKG-000100,Baggage,650
BS-00100,BKG-000101,Meal,250
BS-00101,BKG-000102,Lounge,350
BS-00102,BKG-000103,Baggage,450
BS-00103,BKG-000104,Meal,550
BS-00104,BKG-000105,Lounge,650
BS-00105,BKG-000106,Baggage,250
BS-00106,BKG-000107,Meal,350
BS-00107,BKG-000108,Lounge,450
BS-00108,BKG-000109,Baggage,550
BS-00109,BKG-000110,Meal,650
BS-00110,BKG-000111,Lounge,250
BS-00111,BKG-000112,Baggage,350
BS-00112,BKG-000113,Meal,450
BS-00113,BKG-000114,Lounge,550
BS-00114,BKG-000115,Baggage,650
BS-00115,BKG-000116,Meal,250
BS-00116,BKG-000117,Lounge,350
BS-00117,BKG-000118,Baggage,450
BS-00118,BKG-000119,Meal,550
BS-00119,BKG-000120,Lounge,650
BS-00120,BKG-000121,Baggage,250
BS-00121,BKG-000122,Meal,350
BS-00122,BKG-000123,Lounge,450
BS-00123,BKG-000124,Baggage,550
BS-00124,BKG-000125,Meal,650
BS-00125,BKG-000126,Lounge,250
BS-00126,BKG-000127,Baggage,350
BS-00127,BKG-000128,Meal,450
BS-00128,BKG-000129,Lounge,550
BS-00129,BKG-000130,Baggage,650
BS-00130,BKG-000131,Meal,250
BS-00131,BKG-000132,Lounge,350
BS-00132,BKG-000133,Baggage,450
BS-00133,BKG-000134,Meal,550
BS-00134,BKG-000135,Lounge,650
BS-00135,BKG-000136,Baggage,250
BS-00136,BKG-000137,Meal,350
BS-00137,BKG-000138,Lounge,450
BS-00138,BKG-000139,Baggage,550
BS-00139,BKG-000140,Meal,650
BS-00140,BKG-000141,Lounge,250
BS-00141,BKG-000142,Baggage,350
BS-00142,BKG-000143,Meal,450
