booking_id,customer_id,flight_id,booking_date,travel_class,fare_amount,booking_status
BKG-000001,CUS-0002,FLT-00002,2026-11-18,Economy,2572.4,Confirmed
BKG-000002,CUS-0003,FLT-00003,2026-11-19,Economy,2644.8,Confirmed
BKG-000003,CUS-0004,FLT-00004,2026-11-20,Economy,2717.2,Confirmed
BKG-000004,CUS-0005,FLT-00005,2026-11-21,Economy,2789.6,Confirmed
BKG-000005,CUS-0006,FLT-00006,2026-11-22,Business,2862.0,Confirmed
BKG-000006,CUS-0007,FLT-00007,2026-11-23,Economy,2934.4,Confirmed
BKG-000007,CUS-0008,FLT-00008,2026-11-24,Economy,3006.8,Confirmed
BKG-000008,CUS-0009,FLT-00009,2026-11-25,Economy,3079.2,Cancelled
BKG-000009,CUS-0010,FLT-00010,2026-11-26,Economy,3151.6,Confirmed
BKG-000010,CUS-0011,FLT-00011,2026-11-27,Business,3224.0,Confirmed
BKG-000011,CUS-0012,FLT-00012,2026-11-28,Economy,3296.4,Confirmed
BKG-000012,CUS-0013,FLT-00013,2026-11-29,Economy,3368.8,Confirmed
BKG-000013,CUS-0014,FLT-00014,2026-11-30,Economy,3441.2,Confirmed
BKG-000014,CUS-0015,FLT-00015,2026-12-01,Economy,3513.6,Confirmed
BKG-000015,CUS-0016,FLT-00016,2025-01-01,Business,3586.0,Confirmed
BKG-000016,CUS-0017,FLT-00017,2025-01-02,Economy,3658.4,Cancelled
BKG-000017,CUS-0018,FLT-00018,2025-01-03,Economy,3730.8,Confirmed
BKG-000018,CUS-0019,FLT-00019,2025-01-04,Economy,3803.2,Confirmed
BKG-000019,CUS-0020,FLT-00020,2025-01-05,Economy,3875.6,Confirmed
BKG-000020,CUS-0021,FLT-00021,2025-01-06,Business,3948.0,Confirmed
BKG-000021,CUS-0022,FLT-00022,2025-01-07,Economy,4020.4,Confirmed
BKG-000022,CUS-0023,FLT-00023,2025-01-08,Economy,4092.8,Confirmed
BKG-000023,CUS-0024,FLT-00024,2025-01-09,Economy,4165.2,Confirmed
BKG-000024,CUS-0025,FLT-00025,2025-01-10,Economy,4237.6,Cancelled
BKG-000025,CUS-0026,FLT-00026,2025-01-11,Business,4310.0,Confirmed
BKG-000026,CUS-0027,FLT-00027,2025-01-12,Economy,4382.4,Confirmed
BKG-000027,CUS-0028,FLT-00028,2025-01-13,Economy,4454.8,Confirmed
BKG-000028,CUS-0029,FLT-00029,2025-01-14,Economy,4527.2,Confirmed
BKG-000029,CUS-0030,FLT-00030,2025-01-15,Economy,4599.6,Confirmed
BKG-000030,CUS-0031,FLT-00031,2025-01-16,Business,4672.0,Confirmed
BKG-000031,CUS-0032,FLT-00032,2025-01-17,Economy,4744.4,Confirmed
BKG-000032,CUS-0033,FLT-00033,2025-01-18,Economy,4816.8,Cancelled
BKG-000033,CUS-0034,FLT-00034,2025-01-19,Economy,4889.2,Confirmed
BKG-000034,CUS-0035,FLT-00035,2025-01-20,Economy,4961.6,Confirmed
BKG-000035,CUS-0036,FLT-00036,2025-01-21,Business,5034.0,Confirmed
BKG-000036,CUS-0037,FLT-00037,2025-01-22,Economy,5106.4,Confirmed
BKG-000037,CUS-0038,FLT-00038,2025-01-23,Economy,5178.8,Confirmed
BKG-000038,CUS-0039,FLT-00039,2025-01-24,Economy,5251.2,Confirmed
BKG-000039,CUS-0040,FLT-00040,2025-01-25,Economy,5323.6,Confirmed
BKG-000040,CUS-0041,FLT-00041,2025-01-26,Business,5396.0,Cancelled
BKG-000041,CUS-0042,FLT-00042,2025-01-27,Economy,5468.4,Confirmed
BKG-000042,CUS-0043,FLT-00043,2025-01-28,Economy,5540.8,Confirmed
BKG-000043,CUS-0044,FLT-00044,2025-01-29,Economy,5613.2,Confirmed
BKG-000044,CUS-0045,FLT-00045,2025-01-30,Economy,5685.6,Confirmed
BKG-000045,CUS-0046,FLT-00046,2025-01-31,Business,5758.0,Confirmed
BKG-000046,CUS-0047,FLT-00047,2025-02-01,Economy,5830.4,Confirmed
BKG-000047,CUS-0048,FLT-00048,2025-02-02,Economy,5902.8,Confirmed
BKG-000048,CUS-0001,FLT-00049,2025-02-03,Economy,5975.2,Cancelled
BKG-000049,CUS-0002,FLT-00050,2025-02-04,Economy,6047.6,Confirmed
BKG-000050,CUS-0003,FLT-00051,2025-02-05,Business,6120.0,Confirmed
BKG-000051,CUS-0004,FLT-00052,2025-02-06,Economy,6192.4,Confirmed
BKG-000052,CUS-0005,FLT-00053,2025-02-07,Economy,6264.8,Confirmed
BKG-000053,CUS-0006,FLT-00054,2025-02-08,Economy,6337.2,Confirmed
BKG-000054,CUS-0007,FLT-00055,2025-02-09,Economy,6409.6,Confirmed
BKG-000055,CUS-0008,FLT-00056,2025-02-10,Business,6482.0,Confirmed
BKG-000056,CUS-0009,FLT-00057,2025-02-11,Economy,6554.4,Cancelled
BKG-000057,CUS-0010,FLT-00058,2025-02-12,Economy,6626.8,Confirmed
BKG-000058,CUS-0011,FLT-00059,2025-02-13,Economy,6699.2,Confirmed
BKG-000059,CUS-0012,FLT-00060,2025-02-14,Economy,6771.6,Confirmed
BKG-000060,CUS-0013,FLT-00001,2025-02-15,Business,6844.0,Confirmed
