flight_id,flight_number,origin_airport_id,destination_airport_id,departure_date,seat_capacity,flight_status
FLT-00001,ES2101,APT-002,APT-004,2025-01-02,151,Scheduled
FLT-00002,ES3102,APT-003,APT-005,2025-01-03,152,Scheduled
FLT-00003,ES4103,APT-004,APT-006,2025-01-04,153,Scheduled
FLT-00004,ES5104,APT-005,APT-001,2025-01-05,154,Scheduled
FLT-00005,ES6105,APT-006,APT-002,2025-01-06,155,Scheduled
FLT-00006,ES7106,APT-001,APT-003,2025-01-07,156,Scheduled
FLT-00007,ES8107,APT-002,APT-004,2025-01-08,157,Scheduled
FLT-00008,ES9108,APT-003,APT-005,2025-01-09,158,Scheduled
FLT-00009,ES1109,APT-004,APT-006,2025-01-10,159,Delayed
FLT-00010,ES2110,APT-005,APT-001,2025-01-11,160,Scheduled
FLT-00011,ES3111,APT-006,APT-002,2025-01-12,161,Scheduled
FLT-00012,ES4112,APT-001,APT-003,2025-01-13,162,Scheduled
FLT-00013,ES5113,APT-002,APT-004,2025-01-14,163,Scheduled
FLT-00014,ES6114,APT-003,APT-005,2025-01-15,164,Scheduled
FLT-00015,ES7115,APT-004,APT-006,2025-01-16,165,Scheduled
FLT-00016,ES8116,APT-005,APT-001,2025-01-17,166,Scheduled
FLT-00017,ES9117,APT-006,APT-002,2025-01-18,167,Scheduled
FLT-00018,ES1118,APT-001,APT-003,2025-01-19,168,Delayed
FLT-00019,ES2119,APT-002,APT-004,2025-01-20,169,Scheduled
FLT-00020,ES3120,APT-003,APT-005,2025-01-21,170,Scheduled
FLT-00021,ES4121,APT-004,APT-006,2025-01-22,171,Scheduled
FLT-00022,ES5122,APT-005,APT-001,2025-01-23,172,Scheduled
FLT-00023,ES6123,APT-006,APT-002,2025-01-24,173,Scheduled
FLT-00024,ES7124,APT-001,APT-003,2025-01-25,174,Scheduled
FLT-00025,ES8125,APT-002,APT-004,2025-01-26,175,Scheduled
FLT-00026,ES9126,APT-003,APT-005,2025-01-27,176,Scheduled
FLT-00027,ES1127,APT-004,APT-006,2025-01-28,177,Delayed
FLT-00028,ES2128,APT-005,APT-001,2025-01-29,178,Scheduled
FLT-00029,ES3129,APT-006,APT-002,2025-01-30,179,Scheduled
FLT-00030,ES4130,APT-001,APT-003,2025-01-31,180,Scheduled
FLT-00031,ES5131,APT-002,APT-004,2025-02-01,181,Scheduled
FLT-00032,ES6132,APT-003,APT-005,2025-02-02,182,Scheduled
FLT-00033,ES7133,APT-004,APT-006,2025-02-03,183,Scheduled
FLT-00034,ES8134,APT-005,APT-001,2025-02-04,184,Scheduled
FLT-00035,ES9135,APT-006,APT-002,2025-02-05,185,Scheduled
FLT-00036,ES1136,APT-001,APT-003,2025-02-06,186,Delayed
FLT-00037,ES2137,APT-002,APT-004,2025-02-07,187,Scheduled
FLT-00038,ES3138,APT-003,APT-005,2025-02-08,188,Scheduled
FLT-00039,ES4139,APT-004,APT-006,2025-02-09,189,Scheduled
FLT-00040,ES5140,APT-005,APT-001,2025-02-10,190,Scheduled
FLT-00041,ES6141,APT-006,APT-002,2025-02-11,191,Scheduled
FLT-00042,ES7142,APT-001,APT-003,2025-02-12,192,Scheduled
FLT-00043,ES8143,APT-002,APT-004,2025-02-13,193,Scheduled
FLT-00044,ES9144,APT-003,APT-005,2025-02-14,194,Scheduled
FLT-00045,ES1145,APT-004,APT-006,2025-02-15,195,Delayed
FLT-00046,ES2146,APT-005,APT-001,2025-02-16,196,Scheduled
FLT-00047,ES3147,APT-006,APT-002,2025-02-17,197,Scheduled
FLT-00048,ES4148,APT-001,APT-003,2025-02-18,198,Scheduled
FLT-00049,ES5149,APT-002,APT-004,2025-02-19,199,Scheduled
FLT-00050,ES6150,APT-003,APT-005,2025-02-20,200,Scheduled
FLT-00051,ES7151,APT-004,APT-006,2025-02-21,201,Scheduled
FLT-00052,ES8152,APT-005,APT-001,2025-02-22,202,Scheduled
FLT-00053,ES9153,APT-006,APT-002,2025-02-23,203,Scheduled
FLT-00054,ES1154,APT-001,APT-003,2025-02-24,204,Delayed
FLT-00055,ES2155,APT-002,APT-004,2025-02-25,205,Scheduled
FLT-00056,ES3156,APT-003,APT-005,2025-02-26,206,Scheduled
FLT-00057,ES4157,APT-004,APT-006,2025-02-27,207,Scheduled
FLT-00058,ES5158,APT-005,APT-001,2025-02-28,208,Scheduled
FLT-00059,ES6159,APT-006,APT-002,2025-03-01,209,Scheduled
FLT-00060,ES7160,APT-001,APT-003,2025-03-02,210,Scheduled
