payment_id,booking_id,payment_date,payment_method,payment_amount,payment_status
PAY-000001,BKG-000002,2025-01-02,UPI,2644.8,Paid
PAY-000002,BKG-000003,2025-01-03,Wallet,2717.2,Paid
PAY-000003,BKG-000004,2025-01-04,Card,2789.6,Paid
PAY-000004,BKG-000005,2025-01-05,UPI,2862.0,Paid
PAY-000005,BKG-000006,2025-01-06,Wallet,2934.4,Paid
PAY-000006,BKG-000007,2025-01-07,Card,3006.8,Paid
PAY-000007,BKG-000008,2025-01-08,UPI,3079.2,Paid
PAY-000008,BKG-000009,2025-01-09,Wallet,3151.6,Paid
PAY-000009,BKG-000010,2025-01-10,Card,3224.0,Refunded
PAY-000010,BKG-000011,2025-01-11,UPI,3296.4,Paid
PAY-000011,BKG-000012,2025-01-12,Wallet,3368.8,Paid
PAY-000012,BKG-000013,2025-01-13,Card,3441.2,Paid
PAY-000013,BKG-000014,2025-01-14,UPI,3513.6,Paid
PAY-000014,BKG-000015,2025-01-15,Wallet,3586.0,Paid
PAY-000015,BKG-000016,2025-01-16,Card,3658.4,Paid
PAY-000016,BKG-000017,2025-01-17,UPI,3730.8,Paid
PAY-000017,BKG-000018,2025-01-18,Wallet,3803.2,Paid
PAY-000018,BKG-000019,2025-01-19,Card,3875.6,Refunded
PAY-000019,BKG-000020,2025-01-20,UPI,3948.0,Paid
PAY-000020,BKG-000021,2025-01-21,Wallet,4020.4,Paid
PAY-000021,BKG-000022,2025-01-22,Card,4092.8,Paid
PAY-000022,BKG-000023,2025-01-23,UPI,4165.2,Paid
PAY-000023,BKG-000024,2025-01-24,Wallet,4237.6,Paid
PAY-000024,BKG-000025,2025-01-25,Card,4310.0,Paid
PAY-000025,BKG-000026,2025-01-26,UPI,4382.4,Paid
PAY-000026,BKG-000027,2025-01-27,Wallet,4454.8,Paid
PAY-000027,BKG-000028,2025-01-28,Card,4527.2,Refunded
PAY-000028,BKG-000029,2025-01-29,UPI,4599.6,Paid
PAY-000029,BKG-000030,2025-01-30,Wallet,4672.0,Paid
PAY-000030,BKG-000031,2025-01-31,Card,4744.4,Paid
PAY-000031,BKG-000032,2025-02-01,UPI,4816.8,Paid
PAY-000032,BKG-000033,2025-02-02,Wallet,4889.2,Paid
PAY-000033,BKG-000034,2025-02-03,Card,4961.6,Paid
PAY-000034,BKG-000035,2025-02-04,UPI,5034.0,Paid
PAY-000035,BKG-000036,2025-02-05,Wallet,5106.4,Paid
PAY-000036,BKG-000037,2025-02-06,Card,5178.8,Refunded
PAY-000037,BKG-000038,2025-02-07,UPI,5251.2,Paid
PAY-000038,BKG-000039,2025-02-08,Wallet,5323.6,Paid
PAY-000039,BKG-000040,2025-02-09,Card,5396.0,Paid
PAY-000040,BKG-000041,2025-02-10,UPI,5468.4,Paid
PAY-000041,BKG-000042,2025-02-11,Wallet,5540.8,Paid
PAY-000042,BKG-000043,2025-02-12,Card,5613.2,Paid
PAY-000043,BKG-000044,2025-02-13,UPI,5685.6,Paid
PAY-000044,BKG-000045,2025-02-14,Wallet,5758.0,Paid
PAY-000045,BKG-000046,2025-02-15,Card,5830.4,Refunded
PAY-000046,BKG-000047,2025-02-16,UPI,5902.8,Paid
PAY-000047,BKG-000048,2025-02-17,Wallet,5975.2,Paid
PAY-000048,BKG-000049,2025-02-18,Card,6047.6,Paid
PAY-000049,BKG-000050,2025-02-19,UPI,6120.0,Paid
PAY-000050,BKG-000051,2025-02-20,Wallet,6192.4,Paid
PAY-000051,BKG-000052,2025-02-21,Card,6264.8,Paid
PAY-000052,BKG-000053,2025-02-22,UPI,6337.2,Paid
PAY-000053,BKG-000054,2025-02-23,Wallet,6409.6,Paid
PAY-000054,BKG-000055,2025-02-24,Card,6482.0,Refunded
PAY-000055,BKG-000056,2025-02-25,UPI,6554.4,Paid
PAY-000056,BKG-000057,2025-02-26,Wallet,6626.8,Paid
PAY-000057,BKG-000058,2025-02-27,Card,6699.2,Paid
PAY-000058,BKG-000059,2025-02-28,UPI,6771.6,Paid
PAY-000059,BKG-000060,2025-03-01,Wallet,6844.0,Paid
PAY-000060,BKG-000061,2025-03-02,Card,6916.4,Paid
PAY-000061,BKG-000062,2025-03-03,UPI,6988.8,Paid
PAY-000062,BKG-000063,2025-03-04,Wallet,7061.2,Paid
PAY-000063,BKG-000064,2025-03-05,Card,7133.6,Refunded
PAY-000064,BKG-000065,2025-03-06,UPI,7206.0,Paid
PAY-000065,BKG-000066,2025-03-07,Wallet,7278.4,Paid
PAY-000066,BKG-000067,2025-03-08,Card,7350.8,Paid
PAY-000067,BKG-000068,2025-03-09,UPI,7423.2,Paid
PAY-000068,BKG-000069,2025-03-10,Wallet,7495.6,Paid
PAY-000069,BKG-000070,2025-03-11,Card,7568.0,Paid
PAY-000070,BKG-000071,2025-03-12,UPI,7640.4,Paid
PAY-000071,BKG-000072,2025-03-13,Wallet,7712.8,Paid
PAY-000072,BKG-000073,2025-03-14,Card,7785.2,Refunded
PAY-000073,BKG-000074,2025-03-15,UPI,7857.6,Paid
PAY-000074,BKG-000075,2025-03-16,Wallet,7930.0,Paid
PAY-000075,BKG-000076,2025-03-17,Card,8002.4,Paid
PAY-000076,BKG-000077,2025-03-18,UPI,8074.8,Paid
PAY-000077,BKG-000078,2025-03-19,Wallet,8147.2,Paid
PAY-000078,BKG-000079,2025-03-20,Card,8219.6,Paid
PAY-000079,BKG-000080,2025-03-21,UPI,8292.0,Paid
PAY-000080,BKG-000081,2025-03-22,Wallet,8364.4,Paid
PAY-000081,BKG-000082,2025-03-23,Card,8436.8,Refunded
PAY-000082,BKG-000083,2025-03-24,UPI,8509.2,Paid
PAY-000083,BKG-000084,2025-03-25,Wallet,8581.6,Paid
PAY-000084,BKG-000085,2025-03-26,Card,8654.0,Paid
PAY-000085,BKG-000086,2025-03-27,UPI,8726.4,Paid
